"airport","airport_name","delay_rate"
"IFP","Bullhead City, AZ: Laughlin/Bullhead International","100.00"
"SCK","Stockton, CA: Stockton Metro","36.94"
"BQN","Aguadilla, PR: Rafael Hernandez","35.88"
"PSE","Ponce, PR: Mercedita","34.46"
"CDB","Cold Bay, AK: Cold Bay Airport","34.35"
"PPG","Pago Pago, TT: Pago Pago International","33.88"
"PGD","Punta Gorda, FL: Punta Gorda Airport","30.82"
"PVU","Provo, UT: Provo Municipal","29.88"
"AZA","Phoenix, AZ: Phoenix - Mesa Gateway","27.85"
"MFE","Mission/McAllen/Edinburg, TX: McAllen International","27.76"
