"year","month","total_delayed_flights","carrier_delayed_flights","weather_delayed_flights","national_aviation_sys_delayed","security_delayed_flights","later_aircraft_delayed","carrier_delayed_percentage","weather_delayed_percentage","nas_delayed_percentage","security_delayed_percentage","later_aircraft_percentage"
2019,8,"133278.00","35806.96","5102.03","41942.84","249.10","50177.35","26.87","3.83","31.47","0.19","37.65"
2019,9,"83568.00","23671.57","2212.31","29121.12","134.81","28428.59","28.33","2.65","34.85","0.16","34.02"
2019,10,"105046.00","28463.03","2301.59","35931.34","174.84","38175.39","27.10","2.19","34.21","0.17","36.34"
2019,11,"85651.00","25885.97","1663.36","27298.32","211.47","30591.56","30.22","1.94","31.87","0.25","35.72"
2019,12,"126945.00","36488.05","3161.16","38651.83","277.29","48366.72","28.74","2.49","30.45","0.22","38.10"
2020,1,"82285.00","27170.92","3276.86","27099.19","176.20","24562.29","33.02","3.98","32.93","0.21","29.85"
2020,2,"84616.00","25454.42","3139.06","29002.29","152.69","26867.50","30.08","3.71","34.28","0.18","31.75"
2020,3,"53720.00","16910.02","1093.09","19437.01","99.90","16179.91","31.48","2.03","36.18","0.19","30.12"
2020,4,"9038.00","4497.78","294.84","2859.66","27.84","1358.06","49.77","3.26","31.64","0.31","15.03"
2020,5,"7794.00","3665.56","419.17","2252.63","40.82","1415.82","47.03","5.38","28.90","0.52","18.17"
2020,6,"14949.00","6618.98","1175.27","4133.91","69.61","2951.39","44.28","7.86","27.65","0.47","19.74"
2020,7,"29913.00","11890.99","2432.43","9186.50","162.54","6240.63","39.75","8.13","30.71","0.54","20.86"
2020,8,"28968.00","11242.47","2511.16","9382.10","142.65","5688.79","38.81","8.67","32.39","0.49","19.64"
2020,9,"20195.00","9025.21","1180.94","5993.63","161.35","3833.95","44.69","5.85","29.68","0.80","18.98"
2020,10,"29507.00","11762.67","1444.62","10037.87","182.65","6079.65","39.86","4.90","34.02","0.62","20.60"
2020,11,"27404.00","11395.38","1016.67","9491.06","145.29","5355.89","41.58","3.71","34.63","0.53","19.54"
2020,12,"43532.00","17218.37","1663.27","15449.22","181.77","9019.45","39.55","3.82","35.49","0.42","20.72"
2021,1,"34961.00","13104.04","1676.43","13006.01","156.60","7018.15","37.48","4.80","37.20","0.45","20.07"
2021,2,"45593.00","15997.68","3769.52","16719.48","170.59","8936.04","35.09","8.27","36.67","0.37","19.60"
2021,3,"44643.00","18297.03","1602.81","13211.54","293.92","11236.89","40.99","3.59","29.59","0.66","25.17"
2021,4,"47682.00","18824.83","1879.21","14228.21","418.43","12331.22","39.48","3.94","29.84","0.88","25.86"
2021,5,"65606.00","25683.09","3355.52","17097.78","392.57","19077.19","39.15","5.11","26.06","0.60","29.08"
2021,6,"127565.00","46664.12","6804.96","28764.59","565.02","44766.49","36.58","5.33","22.55","0.44","35.09"
2021,7,"143123.00","52807.80","7147.32","31185.87","614.37","51367.96","36.90","4.99","21.79","0.43","35.89"
2021,8,"127387.00","48323.75","6673.24","28562.67","450.64","43376.49","37.93","5.24","22.42","0.35","34.05"
2021,9,"73363.00","29669.44","2640.12","18141.01","333.30","22579.34","40.44","3.60","24.73","0.45","30.78"
2021,10,"99586.00","40953.38","2871.56","21330.60","365.86","34064.81","41.12","2.88","21.42","0.37","34.21"
2021,11,"81673.00","34582.03","1566.46","18497.10","470.04","26557.66","42.34","1.92","22.65","0.58","32.52"
2021,12,"119150.00","49110.74","4242.86","26299.34","470.36","39026.90","41.22","3.56","22.07","0.39","32.75"
2022,1,"97052.00","41268.41","3814.98","22454.55","275.51","29238.70","42.52","3.93","23.14","0.28","30.13"
2022,2,"92614.00","36163.69","3418.29","23228.59","325.05","29478.60","39.05","3.69","25.08","0.35","31.83"
2022,3,"119816.00","43581.21","3452.47","31139.86","454.76","41187.40","36.37","2.88","25.99","0.38","34.38"
2022,4,"120962.00","45042.65","3367.01","28949.90","375.52","43226.93","37.24","2.78","23.93","0.31","35.74"
2022,5,"119498.00","45191.78","4401.83","29484.96","329.11","40090.42","37.82","3.68","24.67","0.28","33.55"
2022,6,"134598.00","52333.53","4910.73","29227.87","337.64","47788.37","38.88","3.65","21.71","0.25","35.50"
2022,7,"138121.00","50216.02","6013.74","30293.50","469.32","51128.60","36.36","4.35","21.93","0.34","37.02"
2022,8,"128520.00","46501.17","6350.00","28976.95","473.03","46219.10","36.18","4.94","22.55","0.37","35.96"
2022,9,"90875.00","34276.13","3255.64","22660.47","232.88","30449.88","37.72","3.58","24.94","0.26","33.51"
2022,10,"90057.00","34717.91","1994.90","22647.60","268.56","30428.40","38.55","2.22","25.15","0.30","33.79"
2022,11,"102278.00","37076.14","3062.30","27986.61","289.16","33863.73","36.25","2.99","27.36","0.28","33.11"
2022,12,"142407.00","51978.36","6361.02","33323.32","382.68","50361.36","36.50","4.47","23.40","0.27","35.36"
2023,1,"116713.00","39142.99","4369.53","34126.91","376.77","38696.96","33.54","3.74","29.24","0.32","33.16"
2023,2,"92969.00","33007.70","3187.71","25286.44","244.72","31242.43","35.50","3.43","27.20","0.26","33.61"
2023,3,"136044.00","43648.31","3842.32","39346.93","412.42","48793.75","32.08","2.82","28.92","0.30","35.87"
2023,4,"125882.00","41685.81","4042.99","32995.24","390.61","46767.73","33.11","3.21","26.21","0.31","37.15"
2023,5,"104119.00","37572.76","3091.68","25002.30","346.38","38105.86","36.09","2.97","24.01","0.33","36.60"
2023,6,"152268.00","49849.72","6200.11","37257.73","479.73","58481.00","32.74","4.07","24.47","0.32","38.41"
2023,7,"167080.00","54025.04","7435.80","38965.49","384.62","66269.04","32.33","4.45","23.32","0.23","39.66"
2023,8,"128439.00","43677.53","4849.12","29330.06","464.31","50118.10","34.01","3.78","22.84","0.36","39.02"
