"year","month","total_flights","delayed_flights","on_time_arrival_percent","cancelled_percent","diverted_percent"
2019,8,"658461.00","133278.00","79.76","1.72","0.28"
2019,9,"605979.00","83568.00","86.21","1.65","0.21"
2019,10,"636014.00","105046.00","83.48","0.81","0.19"
2019,11,"602453.00","85651.00","85.78","0.74","0.15"
2019,12,"625763.00","126945.00","79.71","0.93","0.22"
2020,1,"607346.00","82285.00","86.45","1.14","0.19"
2020,2,"574268.00","84616.00","85.27","0.89","0.18"
2020,3,"648229.00","53720.00","91.71","17.00","0.12"
2020,4,"313382.00","9038.00","97.12","41.51","0.10"
2020,5,"180617.00","7794.00","95.68","6.43","0.20"
2020,6,"223732.00","14949.00","93.32","0.36","0.16"
2020,7,"352888.00","29913.00","91.52","0.80","0.23"
2020,8,"376715.00","28968.00","92.31","1.04","0.22"
2020,9,"323347.00","20195.00","93.75","0.56","0.14"
2020,10,"352106.00","29507.00","91.62","0.53","0.15"
2020,11,"364367.00","27404.00","92.48","0.56","0.15"
2020,12,"371357.00","43532.00","88.28","1.04","0.15"
2021,1,"361428.00","34961.00","90.33","1.01","0.16"
2021,2,"332468.00","45593.00","86.29","5.54","0.20"
2021,3,"444476.00","44643.00","89.96","1.30","0.17"
2021,4,"450637.00","47682.00","89.42","0.55","0.16"
2021,5,"495544.00","65606.00","86.76","0.46","0.26"
2021,6,"546124.00","127565.00","76.64","1.62","0.33"
2021,7,"583258.00","143123.00","75.46","1.57","0.38"
2021,8,"579179.00","127387.00","78.01","2.97","0.35"
2021,9,"538051.00","73363.00","86.37","1.25","0.17"
2021,10,"564788.00","99586.00","82.37","2.08","0.18"
2021,11,"547559.00","81673.00","85.08","0.63","0.13"
2021,12,"551885.00","119150.00","78.41","2.42","0.25"
2022,1,"537902.00","97052.00","81.96","6.18","0.21"
2022,2,"495713.00","92614.00","81.32","4.38","0.17"
2022,3,"564853.00","119816.00","78.79","1.55","0.25"
2022,4,"556502.00","120962.00","78.26","2.34","0.24"
2022,5,"578819.00","119498.00","79.35","1.97","0.26"
2022,6,"577283.00","134598.00","76.68","3.10","0.29"
2022,7,"594957.00","138121.00","76.78","1.77","0.31"
2022,8,"589810.00","128520.00","78.21","2.44","0.30"
2022,9,"557494.00","90875.00","83.70","1.56","0.19"
2022,10,"572287.00","90057.00","84.26","0.84","0.17"
2022,11,"546410.00","102278.00","81.28","1.13","0.19"
2022,12,"557095.00","142407.00","74.44","5.49","0.23"
2023,1,"538837.00","116713.00","78.34","1.91","0.25"
2023,2,"502749.00","92969.00","81.51","1.79","0.20"
2023,3,"580322.00","136044.00","76.56","1.28","0.24"
2023,4,"561441.00","125882.00","77.58","1.71","0.29"
2023,5,"579958.00","104119.00","82.05","0.57","0.21"
2023,6,"577262.00","152268.00","73.62","2.12","0.39"
2023,7,"601866.00","167080.00","72.24","2.43","0.37"
2023,8,"602987.00","128439.00","78.70","1.52","0.28"
