Month,Year,Full-time,Part-time,Grand Total
1,2004,1717,492,2209
2,2004,1748,486,2234
3,2004,1766,462,2228
4,2004,1827,457,2284
5,2004,1913,487,2400
6,2004,1966,511,2477
7,2004,1957,614,2571
8,2004,1948,710,2658
9,2004,2010,816,2826
10,2004,2054,867,2921
11,2004,2098,912,3010
12,2004,2154,902,3056
1,2005,2150,947,3097
2,2005,2244,1018,3262
3,2005,2315,1035,3350
4,2005,2371,1041,3412
5,2005,2459,1009,3468
6,2005,2539,1025,3564
7,2005,2542,1057,3599
8,2005,2568,1052,3620
9,2005,2555,1050,3605
10,2005,2506,1001,3507
11,2005,2495,953,3448
12,2005,2500,936,3436
1,2006,2482,961,3443
2,2006,2509,963,3472
3,2006,2530,1018,3548
4,2006,2521,1031,3552
5,2006,2486,1038,3524
6,2006,2531,1036,3567
7,2006,2537,1022,3559
8,2006,2552,997,3549
9,2006,2572,982,3554
10,2006,2640,1032,3672
11,2006,2640,1026,3666
12,2006,2716,1144,3860
1,2007,2476,1436,3912
2,2007,2725,1198,3923
3,2007,2795,1145,3940
4,2007,2789,1174,3963
5,2007,2770,1224,3994
6,2007,2817,1280,4097
7,2007,2865,1254,4119
8,2007,2884,1223,4107
9,2007,2929,1229,4158
10,2007,2927,1189,4116
11,2007,2919,1189,4108
12,2007,2452,1662,4114
1,2008,2979,1180,4159
2,2008,3012,1166,4178
3,2008,2890,1171,4061
4,2008,2904,1159,4063
5,2008,2934,1160,4094
6,2008,2708,1432,4140
7,2008,2970,1179,4149
8,2008,2985,1189,4174
9,2008,2996,1168,4164
10,2008,3016,1156,4172
11,2008,3023,1168,4191
12,2008,3040,1164,4204
1,2009,3040,1164,4204
2,2009,3031,1158,4189
3,2009,2874,1171,4045
4,2009,2874,1171,4045
5,2009,2809,1137,3946
6,2009,2809,1137,3946
7,2009,2745,1122,3867
8,2009,2766,1164,3930
9,2009,2803,1100,3903
10,2009,2802,1100,3902
11,2009,2788,1085,3873
12,2009,2780,1071,3851
1,2010,2774,1062,3836
2,2010,2761,1032,3793
3,2010,2778,1022,3800
4,2010,2748,1060,3808
5,2010,2761,1078,3839
6,2010,2782,1077,3859
7,2010,2758,1086,3844
8,2010,2892,1084,3976
9,2010,2888,1121,4009
10,2010,2871,1099,3970
11,2010,2900,1093,3993
12,2010,2905,1071,3976
1,2011,2898,1066,3964
2,2011,2915,1066,3981
