Month,Year,Full-time,Part-time,Grand Total
1,1990,68137,9039,77176
2,1990,68725,9273,77998
3,1990,69509,9376,78885
4,1990,69713,9326,79039
5,1990,70376,9309,79685
6,1990,71258,9369,80627
7,1990,72018,9651,81669
8,1990,72513,9694,82207
9,1990,72776,9788,82564
10,1990,73111,9737,82848
11,1990,73171,9492,82663
12,1990,73726,9507,83233
1,1991,73867,9426,83293
2,1991,73490,9934,83424
3,1991,73538,10192,83730
4,1991,74075,10246,84321
5,1991,74853,10427,85280
6,1991,75683,10716,86399
7,1991,76563,10876,87439
8,1991,76887,11029,87916
9,1991,82579,12560,95139
10,1991,82722,12785,95507
11,1991,83237,12293,95530
12,1991,83561,12531,96092
1,1992,83649,12361,96010
2,1992,83428,12741,96169
3,1992,83444,12644,96088
4,1992,83514,12880,96394
5,1992,83615,12747,96362
6,1992,84149,12953,97102
7,1992,84434,13174,97608
8,1992,85148,13404,98552
9,1992,85387,13333,98720
10,1992,85203,13416,98619
11,1992,85063,13025,98088
12,1992,84716,13283,97999
1,1993,84622,13396,98018
2,1993,84654,13857,98511
3,1993,84827,13815,98642
4,1993,84687,13860,98547
5,1993,84274,14185,98459
6,1993,83730,14395,98125
7,1993,83483,14463,97946
8,1993,83306,14498,97804
9,1993,82940,14170,97110
10,1993,82694,13951,96645
11,1993,84590,12831,97421
12,1993,83047,12901,95948
1,1994,81485,14034,95519
2,1994,80886,14117,95003
3,1994,80572,14065,94637
4,1994,80584,13950,94534
5,1994,79337,14725,94062
6,1994,79144,14846,93990
7,1994,78765,14915,93680
8,1994,78786,14976,93762
9,1994,78923,14224,93147
10,1994,78678,14170,92848
11,1994,78060,14472,92532
12,1994,77822,14617,92439
1,1995,78112,13883,91995
2,1995,78095,13431,91526
3,1995,78112,13313,91425
4,1995,77802,13177,90979
5,1995,78053,12799,90852
6,1995,78276,12704,90980
7,1995,78292,12779,91071
8,1995,78335,12783,91118
9,1995,78764,12519,91283
10,1995,78680,12564,91244
11,1995,79104,12806,91910
12,1995,79349,13260,92609
1,1996,79586,13466,93052
2,1996,79807,13210,93017
3,1996,79425,13231,92656
4,1996,79172,13144,92316
5,1996,78456,13576,92032
6,1996,78446,13722,92168
7,1996,71789,13722,85511
8,1996,73716,12268,85984
9,1996,72053,13607,85660
10,1996,72122,13580,85702
11,1996,72287,13553,85840
12,1996,74303,12296,86599
1,1997,72590,13635,86225
2,1997,72365,13735,86100
3,1997,72069,14177,86246
4,1997,72053,14219,86272
5,1997,73134,13374,86508
6,1997,73736,13512,87248
7,1997,73988,13882,87870
8,1997,74977,13358,88335
9,1997,73993,13800,87793
10,1997,73889,13783,87672
11,1997,73893,13817,87710
12,1997,74735,13568,88303
1,1998,73967,13732,87699
2,1998,73534,13868,87402
3,1998,73680,13889,87569
4,1998,73721,13846,87567
5,1998,73386,14233,87619
6,1998,73754,14322,88076
7,1998,74047,14443,88490
8,1998,75472,13850,89322
9,1998,74643,14435,89078
10,1998,75109,14446,89555
11,1998,75426,14497,89923
12,1998,76343,14117,90460
1,1999,75251,14720,89971
2,1999,76231,14707,90938
3,1999,76682,14590,91272
4,1999,77024,14881,91905
5,1999,77645,15042,92687
6,1999,78217,15118,93335
7,1999,78872,15447,94319
8,1999,80007,14901,94908
9,1999,80737,15502,96239
10,1999,80987,15360,96347
11,1999,81162,15281,96443
12,1999,82264,14935,97199
1,2000,81420,15474,96894
2,2000,81769,15585,97354
3,2000,82755,15541,98296
4,2000,82701,15439,98140
5,2000,83064,15459,98523
