Month,Year,Full-time,Part-time,Grand Total
1,1990,4993,714,5707
2,1990,5010,751,5761
3,1990,5066,760,5826
4,1990,5110,802,5912
5,1990,5277,779,6056
6,1990,5512,782,6294
7,1990,5522,780,6302
8,1990,5532,779,6311
9,1990,5277,856,6133
10,1990,5348,853,6201
11,1990,5276,820,6096
12,1990,5308,818,6126
1,1991,5230,793,6023
2,1991,5271,786,6057
3,1991,5311,780,6091
4,1991,5366,795,6161
5,1991,5565,821,6386
6,1991,5806,838,6644
7,1991,5910,797,6707
8,1991,5895,822,6717
9,1991,5767,795,6562
10,1991,5753,820,6573
11,1991,5723,823,6546
12,1991,5775,828,6603
1,1992,5697,821,6518
2,1992,5710,822,6532
3,1992,5710,860,6570
4,1992,5830,890,6720
5,1992,6073,879,6952
6,1992,6207,946,7153
7,1992,6249,924,7173
8,1992,6177,930,7107
9,1992,6051,877,6928
10,1992,5993,884,6877
11,1992,5854,879,6733
12,1992,5729,882,6611
1,1993,5729,882,6611
2,1993,5417,886,6303
3,1993,5534,847,6381
4,1993,5470,859,6329
5,1993,5757,923,6680
6,1993,5966,869,6835
7,1993,6009,871,6880
8,1993,5868,862,6730
9,1993,5688,812,6500
10,1993,5407,790,6197
11,1993,5410,819,6229
12,1993,5424,806,6230
1,1994,5444,804,6248
2,1994,5577,730,6307
3,1994,5624,744,6368
4,1994,5671,752,6423
5,1994,5897,841,6738
6,1994,6077,875,6952
7,1994,6131,888,7019
8,1994,6162,839,7001
9,1994,6041,830,6871
10,1994,6076,841,6917
11,1994,6074,843,6917
12,1994,6077,847,6924
1,1995,6072,831,6903
2,1995,6091,809,6900
3,1995,6091,868,6959
4,1995,6075,851,6926
5,1995,6300,927,7227
6,1995,6358,1023,7381
7,1995,6406,1044,7450
8,1995,6407,993,7400
9,1995,6403,972,7375
10,1995,6415,946,7361
11,1995,6475,930,7405
12,1995,6515,953,7468
1,1996,6524,971,7495
2,1996,6630,908,7538
3,1996,6695,894,7589
4,1996,6685,949,7634
5,1996,6837,979,7816
6,1996,7081,1053,8134
7,1996,7141,1051,8192
8,1996,7153,1035,8188
9,1996,7050,1043,8093
10,1996,7076,1045,8121
11,1996,7145,1059,8204
12,1996,7219,1098,8317
1,1997,7206,1061,8267
2,1997,7253,1082,8335
3,1997,7284,1088,8372
4,1997,7314,1151,8465
5,1997,7435,1194,8629
6,1997,7435,1194,8629
7,1997,7675,1231,8906
8,1997,7637,1207,8844
9,1997,7599,1195,8794
10,1997,7496,1163,8659
11,1997,7477,1188,8665
12,1997,7426,1157,8583
1,1998,7439,1176,8615
2,1998,7548,1189,8737
3,1998,7637,1188,8825
4,1998,7698,1214,8912
5,1998,7884,1284,9168
6,1998,7997,1326,9323
7,1998,8024,1373,9397
8,1998,8018,1370,9388
9,1998,7899,1377,9276
