Month,Year,Full-time,Part-time,Grand Total
2,2000,275,175,450
3,2000,310,195,505
4,2000,360,210,570
5,2000,424,161,585
6,2000,452,176,628
7,2000,532,186,718
8,2000,590,227,817
9,2000,689,258,947
10,2000,764,277,1041
11,2000,796,189,985
12,2000,833,325,1158
1,2001,967,373,1340
2,2001,1123,393,1516
3,2001,1137,384,1521
4,2001,1214,392,1606
5,2001,1221,452,1673
6,2001,1272,498,1770
7,2001,1345,524,1869
8,2001,1407,560,1967
9,2001,1509,556,2065
10,2001,1551,598,2149
11,2001,1644,626,2270
12,2001,1700,661,2361
1,2002,1927,645,2572
2,2002,2030,613,2643
3,2002,2145,604,2749
4,2002,2271,637,2908
5,2002,2349,645,2994
6,2002,2455,638,3093
7,2002,2607,703,3310
8,2002,2697,751,3448
9,2002,2884,730,3614
10,2002,3152,638,3790
11,2002,3275,683,3958
12,2002,3359,652,4011
1,2003,3538,755,4293
2,2003,3639,444,4083
3,2003,3679,731,4410
4,2003,3870,742,4612
5,2003,4123,743,4866
6,2003,4057,780,4837
7,2003,4108,801,4909
8,2003,4232,784,5016
9,2003,4393,813,5206
10,2003,4491,863,5354
11,2003,4779,828,5607
12,2003,4704,849,5553
1,2004,4810,875,5685
2,2004,4861,918,5779
3,2004,5021,945,5966
4,2004,5074,970,6044
5,2004,5208,1059,6267
6,2004,5340,1116,6456
7,2004,5477,1149,6626
8,2004,5600,1205,6805
9,2004,5603,1305,6908
10,2004,5758,1336,7094
11,2004,5900,1414,7314
12,2004,5956,1443,7399
1,2005,6131,1436,7567
2,2005,6160,1422,7582
3,2005,6287,1412,7699
4,2005,6363,1435,7798
5,2005,6507,1482,7989
6,2005,6741,1527,8268
7,2005,6885,1577,8462
8,2005,6979,1520,8499
9,2005,7109,1551,8660
10,2005,7336,1593,8929
11,2005,7490,1614,9104
12,2005,7647,1601,9248
1,2006,7930,1763,9693
2,2006,8045,1827,9872
3,2006,8233,2015,10248
4,2006,8415,2065,10480
5,2006,8551,2058,10609
6,2006,8646,2058,10704
7,2006,8663,2026,10689
8,2006,8580,2041,10621
9,2006,8568,2104,10672
10,2006,8521,2168,10689
11,2006,8465,2219,10684
12,2006,8393,2231,10624
1,2007,8378,2320,10698
2,2007,8329,2276,10605
3,2007,8418,2268,10686
4,2007,8402,2364,10766
5,2007,8360,2479,10839
6,2007,8375,2599,10974
7,2007,8351,2507,10858
8,2007,8320,2577,10897
9,2007,8331,2643,10974
10,2007,8410,2788,11198
11,2007,8707,2811,11518
12,2007,8721,2847,11568
1,2008,8918,2959,11877
2,2008,8942,3007,11949
3,2008,9000,3026,12026
4,2008,9115,3039,12154
5,2008,9111,2999,12110
6,2008,9056,2934,11990
7,2008,8969,2909,11878
8,2008,8902,2877,11779
9,2008,8834,2928,11762
10,2008,8886,2947,11833
11,2008,8901,2991,11892
12,2008,8902,2950,11852
1,2009,9019,2995,12014
2,2009,9047,2983,12030
3,2009,9027,2995,12022
4,2009,9194,3138,12332
5,2009,9200,3139,12339
6,2009,9202,3147,12349
7,2009,9157,3246,12403
8,2009,9260,3323,12583
9,2009,9115,3325,12440
10,2009,9146,3310,12456
11,2009,9182,3328,12510
12,2009,9180,3352,12532
1,2010,9371,3207,12578
2,2010,9567,3268,12835
3,2010,9667,3133,12800
4,2010,9651,3097,12748
5,2010,9698,3150,12848
6,2010,9622,3223,12845
7,2010,9620,3206,12826
8,2010,9539,3223,12762
9,2010,9482,3236,12718
10,2010,9568,3353,12921
11,2010,9606,3357,12963
12,2010,9626,3322,12948
1,2011,9720,3404,13124
2,2011,9741,3433,13174
3,2011,9851,3440,13291
4,2011,9977,3535,13512
5,2011,10104,3537,13641
6,2011,10217,3597,13814
7,2011,10150,3572,13722
8,2011,10155,3526,13681
9,2011,10146,3638,13784
10,2011,10236,3743,13979
11,2011,10240,3725,13965
12,2011,10243,3779,14022
1,2012,10467,3765,14232
2,2012,10555,3807,14362
3,2012,10606,3829,14435
4,2012,10664,3860,14524
5,2012,10800,3868,14668
6,2012,10774,3834,14608
7,2012,10788,3756,14544
8,2012,10721,3683,14404
9,2012,10592,3715,14307
10,2012,10617,3777,14394
11,2012,10574,3781,14355
12,2012,10573,3774,14347
1,2013,10703,3779,14482
2,2013,10786,3784,14570
3,2013,10852,3845,14697
4,2013,10972,3799,14771
5,2013,11099,3819,14918
6,2013,11123,3812,14935
7,2013,11115,3766,14881
8,2013,11128,3739,14867
9,2013,11042,3826,14868
10,2013,11059,3867,14926
11,2013,11019,3942,14961
12,2013,11021,3862,14883
1,2014,11184,3870,15054
2,2014,11361,3879,15240
3,2014,11546,3933,15479
4,2014,11669,3937,15606
5,2014,11747,4020,15767
6,2014,11408,4030,15438
7,2014,11502,4021,15523
8,2014,11465,3981,15446
9,2014,11392,3977,15369
10,2014,11581,4033,15614
11,2014,11646,4061,15707
12,2014,11642,4046,15688
1,2015,11690,4122,15812
2,2015,11829,4144,15973
3,2015,11852,4255,16107
4,2015,12106,4481,16587
5,2015,12308,4567,16875
6,2015,12435,4566,17001
7,2015,12510,4588,17098
8,2015,12555,4633,17188
9,2015,12587,4580,17167
10,2015,12679,4669,17348
11,2015,12833,4761,17594
12,2015,12833,4771,17604
1,2016,12861,4787,17648
2,2016,12987,4791,17778
3,2016,13104,4706,17810
4,2016,13221,4815,18036
5,2016,13328,4817,18145
6,2016,13530,4838,18368
7,2016,13705,4848,18553
8,2016,13842,4849,18691
9,2016,13903,4841,18744
10,2016,14032,4925,18957
11,2016,14191,4980,19171
12,2016,14090,4881,18971
1,2017,14314,4950,19264
2,2017,14363,4977,19340
3,2017,14498,5017,19515
4,2017,14705,5037,19742
5,2017,14900,5129,20029
6,2017,15051,5097,20148
7,2017,15089,5100,20189
8,2017,15017,5196,20213
9,2017,15019,5192,20211
10,2017,15158,5214,20372
11,2017,15182,5212,20394
12,2017,15139,5178,20317
1,2018,15198,5249,20447
2,2018,15363,5231,20594
3,2018,15435,5171,20606
4,2018,15582,5201,20783
5,2018,15711,5234,20945
6,2018,15716,5255,20971
7,2018,15743,5285,21028
8,2018,15741,5242,20983
9,2018,15817,5294,21111
10,2018,15855,5326,21181
11,2018,15789,5289,21078
12,2018,15767,5212,20979
1,2019,15995,5211,21206
2,2019,16079,5254,21333
3,2019,16280,5204,21484
4,2019,16398,5206,21604
5,2019,16498,5148,21646
6,2019,16642,5099,21741
7,2019,16591,5080,21671
8,2019,16602,5032,21634
9,2019,16674,4972,21646
10,2019,16751,4930,21681
11,2019,16780,4906,21686
12,2019,16648,4851,21499
1,2020,16738,4860,21598
2,2020,16856,4865,21721
3,2020,16745,4801,21546
4,2020,16756,4778,21534
5,2020,16470,5155,21625
6,2020,16418,5138,21556
7,2020,16389,5028,21417
8,2020,16246,4661,20907
9,2020,15735,3913,19648
10,2020,15539,3709,19248
11,2020,15464,3650,19114
12,2020,15377,3605,18982
1,2021,15377,3641,19018
2,2021,15296,3670,18966
3,2021,15267,3678,18945
4,2021,15127,3724,18851
5,2021,15135,3674,18809
6,2021,15088,3905,18993
7,2021,15135,4074,19209
8,2021,15154,4174,19328
9,2021,15490,4368,19858
10,2021,15947,4427,20374
11,2021,16109,4440,20549
12,2021,16293,4387,20680
1,2022,16674,4467,21141
2,2022,17062,4401,21463
3,2022,17604,4363,21967
4,2022,17936,4331,22267
5,2022,18288,4450,22738
6,2022,18303,4539,22842
