Month,Year,Full-time,Part-time,Grand Total
1,1990,56340,4226,60566
2,1990,56413,4184,60597
3,1990,56700,4117,60817
4,1990,56630,4112,60742
5,1990,56932,4156,61088
6,1990,57478,4197,61675
7,1990,58200,4377,62577
8,1990,58220,4433,62653
9,1990,57844,4433,62277
10,1990,58190,4433,62623
11,1990,57989,4450,62439
12,1990,58413,4500,62913
1,1991,58446,4531,62977
2,1991,58938,4608,63546
3,1991,59285,4794,64079
4,1991,59716,4980,64696
5,1991,60649,5076,65725
6,1991,61392,5120,66512
7,1991,62147,5167,67314
8,1991,62179,5216,67395
9,1991,63178,4860,68038
10,1991,63927,4882,68809
11,1991,71204,4929,76133
12,1991,71512,5249,76761
1,1992,71914,5325,77239
2,1992,71915,5365,77280
3,1992,72080,5325,77405
4,1992,71949,5337,77286
5,1992,72508,5338,77846
6,1992,72507,5339,77846
7,1992,72909,5233,78142
8,1992,72433,5066,77499
9,1992,71429,4430,75859
10,1992,71013,4328,75341
11,1992,70338,4373,74711
12,1992,69370,4337,73707
1,1993,68359,4387,72746
2,1993,68047,4350,72397
3,1993,67983,4405,72388
4,1993,67916,4573,72489
5,1993,68227,4866,73093
6,1993,68379,5154,73533
7,1993,68294,5309,73603
8,1993,68155,5395,73550
9,1993,67425,5638,73063
10,1993,66822,5741,72563
11,1993,65233,5755,70988
12,1993,65212,5916,71128
1,1994,64963,5854,70817
2,1994,65698,4966,70664
3,1994,65735,5425,71160
4,1994,67750,5610,73360
5,1994,65823,5745,71568
6,1994,65595,5817,71412
7,1994,65870,5746,71616
8,1994,65428,5102,70530
9,1994,61267,5405,66672
10,1994,61424,6006,67430
11,1994,60162,6680,66842
12,1994,59327,6965,66292
1,1995,56789,7082,63871
2,1995,56632,7230,63862
3,1995,56321,7258,63579
4,1995,56141,7272,63413
5,1995,55692,7367,63059
6,1995,55063,7769,62832
7,1995,52860,9590,62450
8,1995,52810,9629,62439
9,1995,52214,9564,61778
10,1995,52056,9582,61638
11,1995,52604,8906,61510
12,1995,52654,8991,61645
1,1996,51917,8984,60901
2,1996,52033,8974,61007
3,1996,51982,9128,61110
4,1996,52243,9528,61771
5,1996,53499,9963,63462
6,1996,53969,10094,64063
7,1996,54374,10059,64433
8,1996,54484,10271,64755
9,1996,54910,11388,66298
10,1996,55238,11595,66833
11,1996,55366,11262,66628
12,1996,55735,11701,67436
1,1997,55768,11416,67184
2,1997,55995,11309,67304
