Month,Year,Full-time,Part-time,Grand Total
7,1994,225,0,225
8,1994,279,0,279
9,1994,309,0,309
10,1994,324,0,324
11,1994,331,0,331
12,1994,327,0,327
1,1995,320,0,320
2,1995,326,20,346
3,1995,318,20,338
4,1995,318,20,338
5,1995,279,75,354
6,1995,293,96,389
7,1995,330,72,402
8,1995,355,70,425
9,1995,317,71,388
10,1995,338,43,381
11,1995,393,39,432
12,1995,405,42,447
1,1996,407,43,450
2,1996,421,43,464
3,1996,456,77,533
4,1996,504,79,583
5,1996,526,83,609
6,1996,543,78,621
7,1996,568,90,658
8,1996,606,105,711
9,1996,620,106,726
10,1996,613,105,718
11,1996,608,104,712
12,1996,606,108,714
1,1997,609,102,711
2,1997,615,98,713
3,1997,630,108,738
4,1997,661,108,769
5,1997,694,104,798
6,1997,694,104,798
7,1997,694,122,816
8,1997,744,125,869
9,1997,744,125,869
10,1997,756,132,888
11,1997,756,132,888
12,1997,752,146,898
1,1998,740,149,889
2,1998,758,153,911
3,1998,760,166,926
4,1998,745,162,907
5,1998,750,175,925
6,1998,754,197,951
7,1998,754,197,951
8,1998,803,234,1037
9,1998,857,267,1124
10,1998,898,304,1202
11,1998,957,304,1261
12,1998,941,295,1236
1,1999,960,299,1259
2,1999,1036,307,1343
3,1999,1179,323,1502
4,1999,1226,334,1560
5,1999,1260,347,1607
6,1999,1263,375,1638
7,1999,1354,390,1744
8,1999,1379,394,1773
9,1999,1372,391,1763
10,1999,1384,421,1805
11,1999,1462,430,1892
12,1999,1515,433,1948
1,2000,1545,448,1993
2,2000,1653,401,2054
3,2000,1659,408,2067
4,2000,1847,486,2333
5,2000,1642,490,2132
6,2000,1696,434,2130
7,2000,1717,464,2181
8,2000,1781,471,2252
9,2000,1794,479,2273
10,2000,1836,487,2323
11,2000,1841,477,2318
12,2000,1847,470,2317
1,2001,1534,477,2011
2,2001,1960,460,2420
3,2001,1993,448,2441
4,2001,1654,455,2109
5,2001,2089,404,2493
6,2001,2071,437,2508
7,2001,2109,446,2555
8,2001,2126,443,2569
9,2001,2054,455,2509
10,2001,1942,459,2401
11,2001,1945,482,2427
12,2001,1954,487,2441
1,2002,2015,544,2559
2,2002,2010,519,2529
3,2002,2142,557,2699
4,2002,2203,591,2794
5,2002,2263,590,2853
6,2002,2364,595,2959
7,2002,2362,598,2960
8,2002,2354,613,2967
9,2002,2337,599,2936
10,2002,2422,595,3017
11,2002,2438,594,3032
12,2002,3020,600,3620
1,2003,2436,614,3050
2,2003,2477,637,3114
3,2003,2516,641,3157
4,2003,2535,674,3209
5,2003,2647,725,3372
6,2003,2663,730,3393
7,2003,2616,738,3354
8,2003,2710,748,3458
9,2003,2775,796,3571
10,2003,2880,792,3672
11,2003,2947,812,3759
12,2003,2961,807,3768
1,2004,3067,801,3868
2,2004,3198,0,3198
3,2004,3331,855,4186
4,2004,3414,882,4296
5,2004,3453,906,4359
6,2004,3490,895,4385
7,2004,3522,894,4416
8,2004,3576,886,4462
9,2004,3627,882,4509
10,2004,3629,901,4530
11,2004,3629,885,4514
12,2004,3620,872,4492
1,2005,3648,885,4533
2,2005,3639,876,4515
3,2005,3630,868,4498
4,2005,3631,883,4514
5,2005,3611,910,4521
6,2005,3591,923,4514
7,2005,3641,951,4592
8,2005,3612,940,4552
9,2005,3624,945,4569
10,2005,3645,932,4577
11,2005,3635,930,4565
12,2005,3635,915,4550
1,2006,3720,918,4638
2,2006,3789,935,4724
3,2006,3833,916,4749
4,2006,3841,914,4755
5,2006,3971,903,4874
6,2006,4012,943,4955
7,2006,4044,970,5014
8,2006,4056,965,5021
9,2006,4042,951,4993
10,2006,4038,949,4987
11,2006,4060,949,5009
12,2006,4052,939,4991
1,2007,4078,934,5012
2,2007,4149,929,5078
3,2007,4225,931,5156
4,2007,4334,931,5265
5,2007,4403,959,5362
6,2007,4457,965,5422
7,2007,4564,1024,5588
8,2007,4605,1058,5663
9,2007,4663,1086,5749
10,2007,4648,1091,5739
11,2007,4712,1070,5782
12,2007,4694,1043,5737
1,2008,4738,1071,5809
2,2008,4717,1075,5792
3,2008,4619,1052,5671
4,2008,4569,1042,5611
5,2008,4569,1048,5617
6,2008,4439,1020,5459
7,2008,4235,1013,5248
8,2008,4098,957,5055
9,2008,3953,1052,5005
10,2008,3945,1030,4975
11,2008,3914,1056,4970
12,2008,3943,907,4850
1,2009,3915,998,4913
2,2009,3913,984,4897
3,2009,3887,998,4885
4,2009,3918,990,4908
5,2009,3929,990,4919
6,2009,3901,979,4880
7,2009,3876,965,4841
8,2009,3849,976,4825
9,2009,3784,985,4769
10,2009,3793,981,4774
11,2009,3856,992,4848
12,2009,4342,1380,5722
1,2010,4429,1369,5798
2,2010,4370,1381,5751
3,2010,4257,1417,5674
4,2010,4245,1349,5594
5,2010,4299,1154,5453
6,2010,4267,1132,5399
7,2010,4268,1113,5381
8,2010,4292,1109,5401
9,2010,4311,1329,5640
10,2010,4174,1330,5504
11,2010,4303,1337,5640
12,2010,4237,1319,5556
1,2011,4233,1331,5564
2,2011,4243,1321,5564
3,2011,4247,1310,5557
4,2011,4268,1321,5589
5,2011,4292,1303,5595
6,2011,4312,1307,5619
7,2011,4299,1278,5577
8,2011,4360,1267,5627
9,2011,4286,1253,5539
10,2011,4226,1218,5444
11,2011,4071,1173,5244
12,2011,4071,1173,5244
1,2012,3960,1150,5110
2,2012,3942,1131,5073
3,2012,3877,1098,4975
4,2012,3796,1069,4865
5,2012,3724,1039,4763
6,2012,3678,1028,4706
7,2012,3621,1009,4630
8,2012,3535,1042,4577
9,2012,3517,1053,4570
10,2012,3474,1066,4540
11,2012,3418,1064,4482
12,2012,3374,1048,4422
1,2013,3343,1045,4388
2,2013,3327,1046,4373
3,2013,3302,1011,4313
4,2013,3254,965,4219
5,2013,3255,938,4193
6,2013,3169,882,4051
7,2013,3170,883,4053
8,2013,3137,825,3962
9,2013,3094,763,3857
10,2013,3077,719,3796
11,2013,3099,690,3789
12,2013,3159,669,3828
1,2014,3079,666,3745
2,2014,3233,663,3896
3,2014,3173,661,3834
4,2014,3295,666,3961
5,2014,3332,676,4008
6,2014,3342,686,4028
7,2014,3397,702,4099
8,2014,3487,689,4176
9,2014,3412,691,4103
10,2014,3374,658,4032
11,2014,3352,639,3991
12,2014,3320,609,3929
1,2015,3338,547,3885
2,2015,3312,525,3837
3,2015,2913,218,3131
4,2015,2872,78,2950
5,2015,2709,45,2754
6,2015,2735,40,2775
7,2015,2767,39,2806
8,2015,2756,39,2795
9,2015,2846,45,2891
10,2015,2883,43,2926
11,2015,2853,44,2897
12,2015,2929,47,2976
1,2016,2939,46,2985
2,2016,2980,43,3023
3,2016,2995,40,3035
4,2016,3051,37,3088
5,2016,3038,37,3075
6,2016,3120,38,3158
7,2016,3126,41,3167
8,2016,3161,40,3201
9,2016,3241,41,3282
10,2016,3288,41,3329
11,2016,3359,41,3400
12,2016,3372,40,3412
1,2017,3394,39,3433
2,2017,3453,38,3491
3,2017,3516,35,3551
4,2017,3573,34,3607
5,2017,3590,34,3624
6,2017,3600,36,3636
7,2017,3558,35,3593
8,2017,3607,32,3639
9,2017,3566,34,3600
10,2017,3597,39,3636
11,2017,3650,40,3690
12,2017,3682,39,3721
1,2018,3706,39,3745
2,2018,3713,38,3751
3,2018,3763,37,3800
4,2018,3826,37,3863
5,2018,3880,41,3921
6,2018,3950,41,3991
7,2018,3991,39,4030
8,2018,4028,36,4064
9,2018,4068,36,4104
10,2018,4160,39,4199
11,2018,4225,39,4264
12,2018,4197,37,4234
1,2019,4309,34,4343
2,2019,4372,40,4412
3,2019,4405,42,4447
4,2019,4458,39,4497
5,2019,4581,48,4629
6,2019,4639,51,4690
7,2019,4669,51,4720
8,2019,4702,47,4749
9,2019,4787,48,4835
10,2019,4834,46,4880
11,2019,4893,45,4938
12,2019,4905,60,4965
1,2020,4957,63,5020
2,2020,5036,65,5101
3,2020,5115,66,5181
4,2020,5090,63,5153
5,2020,5076,63,5139
6,2020,5040,61,5101
7,2020,5028,68,5096
8,2020,5015,65,5080
9,2020,4990,65,5055
10,2020,4955,64,5019
11,2020,4957,64,5021
12,2020,4948,63,5011
1,2021,4934,62,4996
2,2021,4891,61,4952
3,2021,4898,48,4946
4,2021,4948,47,4995
5,2021,4984,47,5031
6,2021,5129,49,5178
7,2021,5210,50,5260
8,2021,5302,48,5350
9,2021,5381,48,5429
10,2021,5441,46,5487
11,2021,5496,43,5539
12,2021,5459,43,5502
1,2022,5485,44,5529
2,2022,5520,44,5564
3,2022,5525,40,5565
