Month,Year,Full-time,Part-time,Grand Total
7,1998,24,0,24
8,1998,24,0,24
9,1998,25,0,25
10,1998,26,0,26
11,1998,25,0,25
12,1998,24,0,24
1,1999,25,0,25
2,1999,26,0,26
3,1999,29,0,29
4,1999,29,0,29
5,1999,38,7,45
6,1999,47,19,66
7,1999,47,19,66
8,1999,49,19,68
9,1999,50,29,79
10,1999,52,31,83
11,1999,64,25,89
12,1999,65,32,97
1,2000,63,32,95
2,2000,63,36,99
3,2000,72,27,99
4,2000,92,11,103
5,2000,76,30,106
6,2000,81,32,113
7,2000,100,48,148
8,2000,103,49,152
9,2000,100,54,154
10,2000,107,52,159
11,2000,107,52,159
12,2000,42,6,48
1,2001,39,7,46
2,2001,41,8,49
3,2001,39,8,47
4,2001,39,8,47
5,2001,39,8,47
6,2001,43,6,49
7,2001,45,10,55
8,2001,49,9,58
9,2001,47,9,56
10,2001,49,7,56
11,2001,49,7,56
12,2001,47,9,56
1,2002,66,13,79
2,2002,68,12,80
3,2002,73,13,86
4,2002,77,16,93
5,2002,80,16,96
6,2002,75,17,92
7,2002,81,21,102
8,2002,102,21,123
9,2002,89,24,113
10,2002,102,24,126
11,2002,103,19,122
12,2002,96,21,117
1,2003,102,23,125
2,2003,102,24,126
3,2003,97,23,120
4,2003,129,24,153
5,2003,135,25,160
6,2003,160,30,190
7,2003,152,75,227
8,2003,180,79,259
9,2003,180,79,259
10,2003,243,45,288
11,2003,234,38,272
12,2003,254,55,309
1,2004,263,51,314
2,2004,265,59,324
3,2004,295,61,356
4,2004,286,57,343
5,2004,303,55,358
6,2004,302,65,367
7,2004,323,84,407
8,2004,311,79,390
9,2004,324,82,406
10,2004,317,84,401
11,2004,326,88,414
12,2004,339,93,432
1,2005,341,92,433
2,2005,348,92,440
3,2005,384,100,484
4,2005,371,111,482
5,2005,393,117,510
6,2005,399,113,512
7,2005,406,101,507
8,2005,407,102,509
9,2005,436,74,510
10,2005,470,73,543
11,2005,486,136,622
12,2005,517,76,593
1,2006,531,171,702
2,2006,553,195,748
3,2006,574,205,779
4,2006,579,224,803
5,2006,612,227,839
6,2006,616,246,862
7,2006,625,248,873
8,2006,646,278,924
9,2006,646,281,927
10,2006,685,285,970
11,2006,710,281,991
12,2006,701,289,990
1,2007,727,281,1008
2,2007,751,288,1039
3,2007,766,297,1063
4,2007,780,302,1082
5,2007,796,321,1117
6,2007,791,320,1111
7,2007,793,346,1139
8,2007,828,339,1167
9,2007,855,360,1215
10,2007,895,367,1262
11,2007,954,372,1326
12,2007,985,390,1375
1,2008,986,377,1363
2,2008,1028,383,1411
3,2008,1082,395,1477
4,2008,1110,395,1505
5,2008,1107,385,1492
6,2008,1110,378,1488
7,2008,1116,407,1523
8,2008,1108,397,1505
9,2008,1086,392,1478
10,2008,1113,387,1500
11,2008,1122,427,1549
12,2008,1135,425,1560
1,2009,1138,429,1567
2,2009,1177,442,1619
3,2009,1199,439,1638
4,2009,1235,437,1672
5,2009,1239,443,1682
6,2009,1262,446,1708
7,2009,1269,447,1716
8,2009,1272,452,1724
9,2009,1289,460,1749
10,2009,1284,461,1745
11,2009,1315,454,1769
12,2009,1339,452,1791
1,2010,1328,406,1734
2,2010,1362,396,1758
3,2010,1401,392,1793
4,2010,1429,388,1817
5,2010,1442,374,1816
6,2010,1443,380,1823
7,2010,1443,374,1817
8,2010,1436,376,1812
9,2010,1433,370,1803
10,2010,1445,363,1808
11,2010,1430,368,1798
12,2010,1428,361,1789
1,2011,1427,399,1826
2,2011,1449,340,1789
3,2011,1443,331,1774
4,2011,1455,316,1771
5,2011,1418,225,1643
6,2011,1438,256,1694
7,2011,1425,229,1654
8,2011,1432,230,1662
9,2011,1428,234,1662
10,2011,1445,235,1680
11,2011,1450,224,1674
12,2011,1479,222,1701
1,2012,1494,225,1719
2,2012,1535,225,1760
3,2012,1584,222,1806
4,2012,1615,226,1841
5,2012,1625,215,1840
6,2012,1638,211,1849
7,2012,1644,204,1848
8,2012,1644,203,1847
9,2012,1662,213,1875
10,2012,1657,244,1901
11,2012,1655,247,1902
12,2012,1693,245,1938
1,2013,1685,246,1931
2,2013,1733,267,2000
3,2013,1731,296,2027
4,2013,1751,295,2046
5,2013,1750,312,2062
6,2013,1758,311,2069
7,2013,1875,300,2175
8,2013,1787,320,2107
9,2013,1831,333,2164
10,2013,1847,323,2170
11,2013,1880,335,2215
12,2013,1894,341,2235
1,2014,1907,346,2253
2,2014,1960,347,2307
3,2014,1963,333,2296
4,2014,1924,329,2253
5,2014,1990,316,2306
6,2014,2060,347,2407
7,2014,2059,336,2395
8,2014,2084,328,2412
9,2014,2150,122,2272
10,2014,2172,326,2498
11,2014,2235,326,2561
12,2014,2245,319,2564
1,2015,2237,320,2557
2,2015,2304,311,2615
3,2015,2292,302,2594
4,2015,2292,300,2592
5,2015,2371,298,2669
6,2015,2394,318,2712
7,2015,2406,309,2715
8,2015,2466,307,2773
9,2015,2494,312,2806
10,2015,2570,333,2903
11,2015,2570,333,2903
12,2015,2674,337,3011
1,2016,2729,330,3059
2,2016,2828,359,3187
3,2016,2844,360,3204
4,2016,2919,353,3272
5,2016,3024,367,3391
6,2016,3041,364,3405
7,2016,3241,364,3605
8,2016,3063,356,3419
9,2016,3095,376,3471
10,2016,3154,386,3540
11,2016,3041,364,3405
12,2016,3235,354,3589
1,2017,3253,351,3604
2,2017,3311,354,3665
3,2017,3344,374,3718
4,2017,3556,370,3926
5,2017,3424,374,3798
6,2017,3432,383,3815
7,2017,3467,379,3846
8,2017,3485,421,3906
9,2017,3492,415,3907
10,2017,3538,411,3949
11,2017,3560,400,3960
12,2017,3545,406,3951
1,2018,3541,415,3956
2,2018,3576,414,3990
3,2018,3566,420,3986
4,2018,3589,407,3996
5,2018,3622,430,4052
6,2018,3619,441,4060
7,2018,3629,439,4068
8,2018,3643,436,4079
9,2018,3622,426,4048
10,2018,3643,425,4068
11,2018,3646,435,4081
12,2018,3643,516,4159
1,2019,3526,435,3961
2,2019,3636,430,4066
3,2019,3615,442,4057
4,2019,3644,458,4102
5,2019,3676,448,4124
6,2019,3729,462,4191
7,2019,3711,470,4181
8,2019,3748,445,4193
9,2019,3824,455,4279
10,2019,3896,456,4352
11,2019,3926,461,4387
12,2019,3908,457,4365
1,2020,3935,459,4394
2,2020,4001,477,4478
3,2020,4070,417,4487
4,2020,4084,413,4497
5,2020,4069,406,4475
6,2020,4036,400,4436
7,2020,4006,409,4415
8,2020,3987,412,4399
9,2020,3976,414,4390
10,2020,3730,422,4152
