Month,Year,Full-time,Part-time,Grand Total
1,1990,2416,477,2893
2,1990,2476,469,2945
3,1990,2557,573,3130
4,1990,2468,460,2928
5,1990,2467,463,2930
6,1990,2473,445,2918
7,1990,2483,474,2957
8,1990,2436,461,2897
9,1990,2365,379,2744
10,1990,2331,362,2693
11,1990,2323,351,2674
12,1990,2294,346,2640
1,1991,2270,353,2623
2,1991,2260,356,2616
3,1991,2260,355,2615
4,1991,2269,396,2665
5,1991,2291,403,2694
6,1991,2308,403,2711
7,1991,2332,390,2722
8,1991,2334,390,2724
9,1991,2328,379,2707
10,1991,2314,372,2686
11,1991,2315,378,2693
12,1991,2322,380,2702
1,1992,2322,386,2708
2,1992,2328,415,2743
3,1992,2328,415,2743
4,1992,2394,429,2823
5,1992,2425,447,2872
6,1992,2465,460,2925
7,1992,2507,475,2982
8,1992,2520,452,2972
9,1992,2525,411,2936
10,1992,2519,407,2926
11,1992,2524,389,2913
12,1992,2502,389,2891
1,1993,2413,369,2782
2,1993,2253,352,2605
3,1993,2239,348,2587
4,1993,2239,346,2585
5,1993,2233,348,2581
6,1993,2261,394,2655
7,1993,2275,336,2611
8,1993,2245,345,2590
9,1993,2028,344,2372
10,1993,1985,349,2334
11,1993,1955,359,2314
12,1993,1943,351,2294
1,1994,1946,342,2288
2,1994,2128,339,2467
3,1994,2119,342,2461
4,1994,2121,353,2474
5,1994,2139,393,2532
6,1994,2162,399,2561
7,1994,2178,383,2561
8,1994,2158,407,2565
9,1994,2131,374,2505
10,1994,2093,377,2470
11,1994,2085,369,2454
12,1994,2097,360,2457
1,1995,2105,355,2460
2,1995,2106,349,2455
3,1995,2089,346,2435
4,1995,2056,345,2401
5,1995,2095,359,2454
6,1995,2093,374,2467
7,1995,2095,368,2463
8,1995,2094,359,2453
9,1995,2073,337,2410
10,1995,2076,337,2413
11,1995,2065,350,2415
12,1995,2053,247,2300
1,1996,2051,347,2398
2,1996,2048,345,2393
3,1996,2049,352,2401
4,1996,2049,365,2414
5,1996,2073,389,2462
6,1996,2072,407,2479
7,1996,2084,388,2472
8,1996,2078,384,2462
9,1996,2076,371,2447
10,1996,2084,369,2453
11,1996,2096,365,2461
12,1996,2163,360,2523
1,1997,2162,354,2516
2,1997,2163,353,2516
3,1997,2169,346,2515
4,1997,2162,352,2514
5,1997,2165,378,2543
6,1997,2171,397,2568
7,1997,2169,410,2579
8,1997,2169,401,2570
9,1997,2168,405,2573
10,1997,2168,391,2559
11,1997,2165,389,2554
12,1997,2172,379,2551
1,1998,2170,389,2559
2,1998,2167,388,2555
3,1998,2170,405,2575
4,1998,2164,400,2564
5,1998,2196,426,2622
6,1998,2204,451,2655
7,1998,2215,491,2706
8,1998,2220,482,2702
9,1998,2238,437,2675
10,1998,2240,456,2696
11,1998,2239,448,2687
12,1998,2245,452,2697
1,1999,2256,444,2700
2,1999,2327,421,2748
3,1999,2412,437,2849
4,1999,2440,467,2907
5,1999,2484,572,3056
6,1999,2534,618,3152
7,1999,2551,616,3167
8,1999,2577,613,3190
9,1999,2603,549,3152
10,1999,2612,543,3155
11,1999,2655,547,3202
12,1999,2569,522,3091
1,2000,2702,530,3232
2,2000,2754,517,3271
3,2000,2780,535,3315
4,2000,2795,543,3338
5,2000,2842,594,3436
6,2000,2879,591,3470
7,2000,2890,605,3495
8,2000,2889,598,3487
9,2000,2887,559,3446
10,2000,2871,547,3418
11,2000,2849,560,3409
12,2000,2874,561,3435
1,2001,2876,561,3437
2,2001,2878,544,3422
3,2001,2874,548,3422
4,2001,2902,561,3463
5,2001,2931,586,3517
6,2001,2943,595,3538
7,2001,2947,592,3539
8,2001,2960,580,3540
9,2001,2659,481,3140
10,2001,2596,497,3093
11,2001,2573,503,3076
12,2001,2572,497,3069
1,2002,2583,492,3075
2,2002,2581,503,3084
3,2002,2573,485,3058
4,2002,2570,496,3066
5,2002,2706,478,3184
6,2002,2785,536,3321
7,2002,2793,581,3374
8,2002,2777,605,3382
9,2002,2775,621,3396
10,2002,2778,589,3367
11,2002,2754,573,3327
12,2002,2719,504,3223
1,2003,2801,510,3311
2,2003,2773,512,3285
3,2003,2684,536,3220
4,2003,2665,548,3213
5,2003,2618,640,3258
6,2003,2642,634,3276
7,2003,2654,639,3293
8,2003,2637,673,3310
9,2003,2590,654,3244
10,2003,2592,660,3252
11,2003,2634,668,3302
12,2003,2625,685,3310
1,2004,2631,646,3277
2,2004,2649,642,3291
3,2004,2619,679,3298
4,2004,2635,668,3303
5,2004,2663,693,3356
6,2004,2712,677,3389
7,2004,2702,699,3401
8,2004,2687,688,3375
9,2004,2673,671,3344
10,2004,2664,676,3340
11,2004,2710,675,3385
12,2004,3685,686,4371
1,2005,2673,671,3344
2,2005,2675,684,3359
3,2005,2670,669,3339
4,2005,2677,674,3351
5,2005,2679,655,3334
6,2005,2698,658,3356
7,2005,2711,659,3370
8,2005,2711,694,3405
9,2005,2700,719,3419
10,2005,2709,760,3469
11,2005,2711,750,3461
12,2005,2689,765,3454
1,2006,2663,753,3416
2,2006,2641,765,3406
3,2006,2663,758,3421
4,2006,2674,767,3441
5,2006,2679,778,3457
6,2006,2671,779,3450
7,2006,2667,760,3427
8,2006,2689,762,3451
9,2006,2714,783,3497
10,2006,2611,759,3370
11,2006,2719,782,3501
12,2006,2742,832,3574
1,2007,2774,811,3585
2,2007,2778,815,3593
3,2007,2773,837,3610
4,2007,2772,826,3598
5,2007,2727,805,3532
6,2007,2675,806,3481
7,2007,2678,802,3480
8,2007,2669,792,3461
9,2007,2663,775,3438
10,2007,2640,791,3431
11,2007,2640,791,3431
12,2007,2650,795,3445
1,2008,2649,761,3410
2,2008,2674,763,3437
