Month,Year,Full-time,Part-time,Grand Total
10,1991,1591,160,1751
11,1991,1641,165,1806
12,1991,1636,197,1833
1,1992,1733,190,1923
2,1992,1648,192,1840
3,1992,1640,185,1825
4,1992,1654,171,1825
5,1992,1648,167,1815
6,1992,1643,162,1805
7,1992,1643,165,1808
8,1992,1650,160,1810
9,1992,1648,173,1821
10,1992,1669,185,1854
11,1992,1684,201,1885
12,1992,1663,214,1877
1,1993,4219,481,4700
2,1993,2540,277,2817
3,1993,2594,265,2859
4,1993,2609,240,2849
5,1993,2665,229,2894
6,1993,2661,223,2884
7,1993,2686,234,2920
8,1993,2791,233,3024
9,1993,2769,266,3035
10,1993,2747,285,3032
11,1993,2823,290,3113
12,1993,2841,284,3125
1,1994,2883,301,3184
2,1994,2902,304,3206
3,1994,2880,297,3177
4,1994,2877,321,3198
5,1994,2852,345,3197
6,1994,2924,329,3253
7,1994,2983,348,3331
8,1994,2991,369,3360
9,1994,3022,378,3400
10,1994,3032,338,3370
11,1994,3020,404,3424
12,1994,3005,410,3415
1,1995,2959,398,3357
2,1995,2966,403,3369
3,1995,3025,411,3436
4,1995,3150,434,3584
5,1995,3303,459,3762
6,1995,3381,474,3855
8,1995,3511,523,4034
9,1995,3517,526,4043
10,1995,3542,551,4093
11,1995,3593,555,4148
12,1995,3667,546,4213
1,1996,3678,508,4186
2,1996,3689,535,4224
3,1996,3739,518,4257
4,1996,3692,517,4209
5,1996,3711,522,4233
6,1996,3710,500,4210
7,1996,3675,487,4162
8,1996,3663,500,4163
9,1996,3653,500,4153
10,1996,3664,508,4172
11,1996,3678,512,4190
12,1996,3739,510,4249
1,1997,3727,512,4239
2,1997,3720,525,4245
3,1997,3541,501,4042
4,1997,3636,361,3997
5,1997,3508,541,4049
6,1997,3532,530,4062
7,1997,3518,526,4044
8,1997,3596,537,4133
9,1997,3593,534,4127
10,1997,3627,518,4145
11,1997,3627,527,4154
12,1997,3684,531,4215
1,1998,3710,528,4238
2,1998,3690,547,4237
3,1998,3542,501,4043
4,1998,3733,529,4262
5,1998,5260,955,6215
6,1998,6590,1218,7808
7,1998,6630,1215,7845
8,1998,6692,1208,7900
9,1998,6660,1179,7839
10,1998,6728,1193,7921
11,1998,6698,1204,7902
12,1998,6648,1235,7883
1,1999,6718,1195,7913
2,1999,6718,1211,7929
3,1999,6761,1227,7988
4,1999,6801,1232,8033
5,1999,6856,1258,8114
6,1999,6909,1254,8163
7,1999,7093,1295,8388
8,1999,7103,1271,8374
9,1999,7192,1280,8472
10,1999,7222,1288,8510
11,1999,7310,1320,8630
12,1999,7471,1124,8595
1,2000,7470,1118,8588
2,2000,7587,1150,8737
3,2000,7623,1154,8777
4,2000,7919,1234,9153
5,2000,7997,1233,9230
6,2000,7817,1172,8989
7,2000,7850,1192,9042
8,2000,7913,1166,9079
9,2000,8009,1193,9202
10,2000,8066,1221,9287
11,2000,8104,1184,9288
12,2000,8189,1235,9424
1,2001,8166,1251,9417
2,2001,8273,1227,9500
3,2001,8360,1248,9608
4,2001,8373,1226,9599
5,2001,8479,1252,9731
6,2001,8515,1280,9795
7,2001,8549,1290,9839
8,2001,8599,1280,9879
9,2001,8589,1266,9855
10,2001,8042,1165,9207
11,2001,7821,1165,8986
12,2001,7859,1179,9038
1,2002,7874,1179,9053
2,2002,7918,1183,9101
3,2002,7908,1177,9085
4,2002,7794,1183,8977
5,2002,7820,1199,9019
6,2002,7905,1207,9112
7,2002,7923,1241,9164
8,2002,7983,1244,9227
9,2002,7992,1248,9240
10,2002,7352,1004,8356
11,2002,7384,1035,8419
12,2002,7349,1016,8365
1,2003,7284,1007,8291
2,2003,7270,1022,8292
3,2003,7212,992,8204
4,2003,7205,988,8193
5,2003,7095,944,8039
6,2003,7095,944,8039
7,2003,6139,944,7083
8,2003,6998,952,7950
9,2003,7003,950,7953
10,2003,7119,985,8104
11,2003,7198,994,8192
12,2003,7225,990,8215
1,2004,7301,985,8286
2,2004,7421,1018,8439
3,2004,7622,1033,8655
4,2004,7720,1055,8775
5,2004,7890,1024,8914
6,2004,7991,1018,9009
7,2004,8080,1047,9127
8,2004,8269,1047,9316
9,2004,8416,1052,9468
10,2004,8487,1084,9571
11,2004,8562,1084,9646
12,2004,8570,1120,9690
1,2005,8666,1202,9868
2,2005,8761,1224,9985
3,2005,8809,1205,10014
4,2005,8895,1153,10048
5,2005,8895,1160,10055
6,2005,8870,1146,10016
7,2005,8801,1143,9944
8,2005,8829,1158,9987
9,2005,8874,1147,10021
10,2005,8917,1181,10098
11,2005,8881,1180,10061
12,2005,8835,1167,10002
1,2006,8759,1213,9972
2,2006,8742,1205,9947
3,2006,8703,1214,9917
4,2006,8663,1215,9878
5,2006,8625,1202,9827
6,2006,8584,1199,9783
7,2006,8595,1232,9827
8,2006,8536,1233,9769
9,2006,8586,1282,9868
10,2006,8653,1298,9951
11,2006,8627,1326,9953
12,2006,8614,1309,9923
1,2007,8655,1329,9984
2,2007,8658,1369,10027
3,2007,8750,1415,10165
4,2007,8767,1394,10161
5,2007,8713,1429,10142
6,2007,8726,1453,10179
7,2007,8770,1457,10227
8,2007,8754,1497,10251
9,2007,8800,1523,10323
10,2007,8935,1548,10483
11,2007,8895,1583,10478
12,2007,8923,1512,10435
1,2008,8921,1489,10410
2,2008,8944,1520,10464
3,2008,8954,1524,10478
4,2008,8953,1512,10465
5,2008,8970,1526,10496
6,2008,8931,1504,10435
7,2008,8882,1468,10350
8,2008,8828,1465,10293
9,2008,8723,1458,10181
10,2008,8685,1478,10163
11,2008,8534,1509,10043
12,2008,8464,1512,9976
1,2009,8478,1514,9992
2,2009,8443,1541,9984
3,2009,8426,1539,9965
4,2009,8402,1544,9946
5,2009,8362,1615,9977
6,2009,8270,1599,9869
7,2009,8221,1601,9822
8,2009,8192,1610,9802
9,2009,8189,1619,9808
10,2009,8213,1622,9835
11,2009,8213,1657,9870
12,2009,8174,1644,9818
1,2010,8207,1674,9881
2,2010,8177,1734,9911
3,2010,8172,1745,9917
4,2010,8237,1742,9979
5,2010,8375,1729,10104
6,2010,8381,1770,10151
7,2010,8395,1782,10177
8,2010,8388,1762,10150
9,2010,8479,1746,10225
10,2010,8579,1755,10334
11,2010,8568,1775,10343
12,2010,8597,1780,10377
1,2011,8628,1789,10417
2,2011,8643,1810,10453
3,2011,8733,1860,10593
4,2011,8738,1903,10641
5,2011,8753,1888,10641
6,2011,8841,1890,10731
7,2011,8903,1929,10832
8,2011,8961,1919,10880
9,2011,9084,1943,11027
10,2011,9199,1970,11169
11,2011,9182,1959,11141
12,2011,9124,1934,11058
1,2012,9114,1902,11016
2,2012,9009,1878,10887
3,2012,8974,1863,10837
4,2012,8845,1854,10699
5,2012,8864,1901,10765
6,2012,8869,1940,10809
7,2012,8847,2082,10929
8,2012,8850,2205,11055
9,2012,8920,2323,11243
10,2012,9144,2593,11737
11,2012,9294,2643,11937
12,2012,9380,2747,12127
1,2013,9859,2929,12788
2,2013,9855,2999,12854
3,2013,9740,3008,12748
4,2013,9666,2995,12661
5,2013,9661,2893,12554
6,2013,9731,2870,12601
7,2013,9654,2940,12594
8,2013,9605,3065,12670
9,2013,9571,3178,12749
10,2013,9498,3291,12789
11,2013,9473,3251,12724
12,2013,9422,3216,12638
1,2014,9383,3267,12650
2,2014,9292,3326,12618
3,2014,9219,3291,12510
4,2014,9175,3374,12549
5,2014,9130,3366,12496
6,2014,9031,3354,12385
7,2014,9092,3808,12900
8,2014,9017,3588,12605
9,2014,9086,3771,12857
10,2014,9130,3810,12940
11,2014,9612,4097,13709
12,2014,8936,3809,12745
1,2015,8799,3788,12587
2,2015,9062,3747,12809
3,2015,9139,3760,12899
4,2015,9034,3806,12840
5,2015,8975,3800,12775
6,2015,8923,3699,12622
7,2015,7890,3604,11494
8,2015,7863,3563,11426
9,2015,7941,3546,11487
10,2015,8929,3417,12346
11,2015,9012,3359,12371
12,2015,9051,3297,12348
1,2016,9023,3267,12290
2,2016,9025,3190,12215
3,2016,9077,3162,12239
4,2016,9129,3071,12200
5,2016,9141,3028,12169
6,2016,9159,3046,12205
7,2016,9239,3117,12356
8,2016,9326,3136,12462
9,2016,9356,3065,12421
10,2016,9347,3067,12414
11,2016,9374,3026,12400
12,2016,9387,3085,12472
1,2017,9500,3117,12617
2,2017,9583,3175,12758
3,2017,9636,3204,12840
4,2017,9744,3233,12977
5,2017,9821,3335,13156
6,2017,9926,3497,13423
7,2017,10019,3480,13499
8,2017,10096,3484,13580
9,2017,10248,3554,13802
10,2017,10357,3616,13973
11,2017,10471,3690,14161
12,2017,10536,3716,14252
1,2018,10690,3669,14359
2,2018,10743,3692,14435
3,2018,10812,3687,14499
4,2018,10961,3719,14680
5,2018,11028,3688,14716
6,2018,11122,3715,14837
7,2018,11086,3777,14863
8,2018,11100,3815,14915
9,2018,11208,3829,15037
10,2018,11541,3846,15387
11,2018,11647,3948,15595
12,2018,11606,3956,15562
1,2019,11798,3975,15773
2,2019,11810,4016,15826
3,2019,11834,4053,15887
4,2019,11875,4065,15940
5,2019,12011,4169,16180
6,2019,12120,4296,16416
7,2019,12104,4262,16366
8,2019,12135,4255,16390
9,2019,12237,4377,16614
10,2019,12390,4373,16763
11,2019,12471,4375,16846
12,2019,12449,4486,16935
1,2020,12494,4534,17028
2,2020,12550,4636,17186
3,2020,12389,4392,16781
4,2020,12383,4384,16767
5,2020,12409,4362,16771
6,2020,12344,4315,16659
7,2020,12193,4195,16388
8,2020,12031,4070,16101
9,2020,11966,3992,15958
10,2020,11197,3731,14928
11,2020,11098,3535,14633
12,2020,11599,3781,15380
1,2021,11521,3882,15403
2,2021,11525,3893,15418
3,2021,11439,3907,15346
4,2021,11385,4062,15447
5,2021,11200,4247,15447
6,2021,10929,4363,15292
7,2021,10822,4289,15111
8,2021,10850,4220,15070
9,2021,10915,4288,15203
10,2021,10907,4258,15165
11,2021,10932,4248,15180
12,2021,11005,4300,15305
1,2022,10996,4389,15385
2,2022,11030,4437,15467
3,2022,11161,4582,15743
4,2022,11204,4591,15795
5,2022,11262,4650,15912
6,2022,11291,4803,16094
7,2022,11347,4799,16146
8,2022,11577,4929,16506
9,2022,11609,4949,16558
10,2022,11628,5042,16670
11,2022,11628,5177,16805
12,2022,11740,5208,16948
1,2023,11682,5238,16920
2,2023,11738,5289,17027
3,2023,11884,5373,17257
4,2023,11949,5407,17356
5,2023,12074,5498,17572
6,2023,12151,5556,17707
7,2023,12219,5634,17853
8,2023,12241,5622,17863
9,2023,12243,5705,17948
10,2023,12284,5646,17930
11,2023,12357,5687,18044
