Month,Year,Full-time,Part-time,Grand Total
8,1992,105,21,126
9,1992,102,21,123
10,1992,105,21,126
11,1992,106,19,125
12,1992,106,19,125
1,1993,102,18,120
2,1993,102,18,120
3,1993,102,18,120
4,1993,102,18,120
5,1993,155,26,181
6,1993,155,26,181
7,1993,169,26,195
8,1993,114,48,162
9,1993,114,48,162
10,1993,114,48,162
11,1993,114,48,162
12,1993,148,48,196
1,1994,148,48,196
2,1994,148,48,196
3,1994,190,25,215
4,1994,190,25,215
5,1994,190,25,215
6,1994,190,25,215
7,1994,215,25,240
8,1994,215,25,240
9,1994,275,25,300
10,1994,275,25,300
12,1994,280,43,323
1,1995,280,43,323
2,1995,280,43,323
3,1995,309,55,364
4,1995,315,58,373
5,1995,335,55,390
6,1995,355,30,385
7,1995,355,30,385
8,1995,355,30,385
9,1995,370,85,455
10,1995,370,85,455
11,1995,370,85,455
12,1995,370,85,455
1,1996,393,40,433
2,1996,393,40,433
3,1996,393,40,433
4,1996,393,40,433
5,1996,350,168,518
6,1996,420,98,518
7,1996,420,98,518
8,1996,420,98,518
9,1996,424,112,536
10,1996,424,112,536
11,1996,424,112,536
12,1996,420,100,520
1,1997,420,100,520
2,1997,400,140,540
3,1997,400,140,540
4,1997,420,100,520
5,1997,443,189,632
6,1997,508,190,698
7,1997,583,146,729
8,1997,584,146,730
9,1997,602,150,752
10,1997,606,151,757
11,1997,644,162,806
12,1997,636,159,795
1,1998,639,159,798
2,1998,684,171,855
3,1998,717,179,896
4,1998,725,181,906
5,1998,662,254,916
6,1998,700,234,934
7,1998,723,267,990
8,1998,767,259,1026
9,1998,811,254,1065
10,1998,822,274,1096
11,1998,878,283,1161
12,1998,925,271,1196
1,1999,869,279,1148
2,1999,952,329,1281
3,1999,1023,340,1363
4,1999,1105,379,1484
5,1999,1073,345,1418
6,1999,1135,383,1518
7,1999,1279,360,1639
8,1999,1322,363,1685
9,1999,1301,333,1634
10,1999,1381,346,1727
11,1999,1618,286,1904
12,1999,1657,316,1973
1,2000,1655,389,2044
2,2000,1704,362,2066
3,2000,1687,396,2083
4,2000,1633,404,2037
5,2000,1608,390,1998
6,2000,1565,335,1900
7,2000,1482,323,1805
8,2000,1416,327,1743
9,2000,1404,294,1698
10,2000,1316,413,1729
11,2000,1444,324,1768
12,2000,1574,337,1911
1,2001,1582,342,1924
2,2001,1698,365,2063
3,2001,1773,361,2134
4,2001,1999,322,2321
5,2001,2041,358,2399
6,2001,1945,341,2286
7,2001,1935,331,2266
8,2001,1958,345,2303
9,2001,2015,348,2363
10,2001,1593,213,1806
11,2001,1740,258,1998
12,2001,1774,275,2049
1,2002,1849,280,2129
2,2002,1849,280,2129
3,2002,1940,273,2213
4,2002,2025,246,2271
5,2002,2047,335,2382
6,2002,2102,341,2443
7,2002,2103,334,2437
8,2002,2139,348,2487
9,2002,2134,331,2465
10,2002,2204,334,2538
11,2002,2228,369,2597
12,2002,2199,380,2579
1,2003,2223,350,2573
2,2003,2219,352,2571
3,2003,2235,396,2631
4,2003,2327,356,2683
5,2003,2263,310,2573
6,2003,2270,335,2605
