Month,Year,Full-time,Part-time,Grand Total
1,2003,4857,779,5636
2,2003,4826,796,5622
3,2003,4720,814,5534
4,2003,4668,810,5478
5,2003,4680,785,5465
6,2003,4707,754,5461
7,2003,4762,754,5516
8,2003,4848,762,5610
9,2003,4942,801,5743
10,2003,5010,789,5799
11,2003,5171,832,6003
12,2003,5184,875,6059
1,2004,5262,908,6170
2,2004,5412,965,6377
3,2004,5627,985,6612
4,2004,5666,930,6596
5,2004,5760,940,6700
6,2004,5883,940,6823
7,2004,5935,927,6862
8,2004,6107,962,7069
9,2004,6218,996,7214
10,2004,6327,1025,7352
11,2004,6373,1039,7412
12,2004,6462,1072,7534
1,2005,6675,1084,7759
2,2005,6799,1060,7859
3,2005,6838,1050,7888
4,2005,6939,1043,7982
5,2005,7041,1082,8123
6,2005,7220,1089,8309
7,2005,7254,1080,8334
8,2005,7324,1101,8425
9,2005,7543,1177,8720
10,2005,7564,1213,8777
11,2005,7457,1313,8770
12,2005,7440,1321,8761
1,2006,7440,1326,8766
2,2006,7478,1338,8816
3,2006,7476,1345,8821
4,2006,7506,1335,8841
5,2006,7174,1262,8436
6,2006,7412,1261,8673
7,2006,7531,1225,8756
8,2006,7680,1255,8935
9,2006,7852,1277,9129
10,2006,8019,1301,9320
11,2006,8104,1316,9420
12,2006,8126,1330,9456
1,2007,8492,1366,9858
2,2007,8580,1394,9974
3,2007,8703,1423,10126
4,2007,8776,1433,10209
5,2007,9069,1434,10503
6,2007,9158,1493,10651
7,2007,9003,1516,10519
8,2007,9026,1533,10559
9,2007,9169,1594,10763
10,2007,9268,1676,10944
11,2007,9273,1687,10960
12,2007,9381,1736,11117
1,2008,9405,1710,11115
2,2008,9279,1744,11023
3,2008,9100,1785,10885
4,2008,8830,1735,10565
5,2008,8673,1722,10395
6,2008,8602,1775,10377
7,2008,8425,1757,10182
8,2008,8328,1689,10017
9,2008,8237,1678,9915
10,2008,8110,1682,9792
11,2008,8085,1763,9848
12,2008,8083,1806,9889
1,2009,8104,1818,9922
2,2009,8082,1872,9954
3,2009,7983,1904,9887
4,2009,7902,1776,9678
5,2009,7677,1798,9475
6,2009,7704,1754,9458
7,2009,7702,1773,9475
8,2009,7697,1722,9419
9,2009,7719,1736,9455
10,2009,7741,1700,9441
11,2009,7764,1781,9545
12,2009,7790,1803,9593
1,2010,7908,1875,9783
2,2010,7982,1925,9907
3,2010,8033,1912,9945
4,2010,7855,1988,9843
5,2010,7904,2078,9982
6,2010,7907,2036,9943
7,2010,7903,2001,9904
