Month,Year,Full-time,Part-time,Grand Total
1,1990,1542,163,1705
2,1990,1542,163,1705
3,1990,1594,173,1767
4,1990,1609,166,1775
5,1990,1620,169,1789
6,1990,1636,166,1802
7,1990,1608,180,1788
8,1990,1614,184,1798
9,1990,1614,184,1798
10,1990,1689,220,1909
11,1990,1702,182,1884
12,1990,1713,169,1882
1,1991,1632,189,1821
2,1991,1639,191,1830
3,1991,1658,216,1874
4,1991,1658,216,1874
5,1991,1569,210,1779
6,1991,1742,209,1951
7,1991,1701,204,1905
8,1991,1719,213,1932
9,1991,1723,221,1944
10,1991,1723,221,1944
11,1991,1768,219,1987
12,1991,1816,217,2033
1,1992,1947,217,2164
2,1992,2210,0,2210
3,1992,1981,0,1981
4,1992,2011,0,2011
5,1992,2044,0,2044
6,1992,2052,0,2052
7,1992,2051,0,2051
8,1992,2110,0,2110
9,1992,1984,222,2206
10,1992,1922,227,2149
11,1992,1987,228,2215
12,1992,2010,226,2236
1,1993,2011,232,2243
2,1993,2002,233,2235
3,1993,1995,238,2233
4,1993,1994,236,2230
5,1993,2040,241,2281
6,1993,2068,254,2322
7,1993,2084,259,2343
8,1993,2075,262,2337
9,1993,2064,273,2337
10,1993,2072,283,2355
11,1993,2055,301,2356
12,1993,2065,302,2367
1,1994,2066,304,2370
2,1994,2105,304,2409
3,1994,2107,317,2424
4,1994,2135,322,2457
5,1994,2153,322,2475
6,1994,2220,302,2522
7,1994,2287,311,2598
8,1994,2259,348,2607
9,1994,2274,341,2615
10,1994,2339,360,2699
11,1994,2404,371,2775
12,1994,2431,369,2800
1,1995,2454,378,2832
2,1995,2493,375,2868
3,1995,2520,380,2900
4,1995,2526,384,2910
5,1995,2569,411,2980
6,1995,2574,411,2985
7,1995,2602,414,3016
8,1995,2588,403,2991
9,1995,2550,393,2943
10,1995,2519,395,2914
11,1995,2576,410,2986
12,1995,2555,397,2952
1,1996,2494,412,2906
2,1996,2494,403,2897
3,1996,2503,411,2914
4,1996,2513,424,2937
5,1996,2531,412,2943
6,1996,2546,421,2967
7,1996,2550,422,2972
