Month,Year,Full-time,Part-time,Grand Total
1,1990,65664,5457,71121
2,1990,65839,5446,71285
3,1990,66070,5445,71515
4,1990,66779,5518,72297
5,1990,67217,5675,72892
6,1990,67924,5978,73902
7,1990,68331,5966,74297
8,1990,68431,5992,74423
9,1990,68472,5714,74186
10,1990,68640,5668,74308
11,1990,69091,5681,74772
12,1990,69277,5748,75025
1,1991,69448,5657,75105
2,1991,69460,5661,75121
3,1991,70730,5670,76400
4,1991,71207,5685,76892
5,1991,72036,5835,77871
6,1991,72936,6094,79030
7,1991,73259,6229,79488
8,1991,73749,6266,80015
9,1991,73537,6159,79696
10,1991,73780,6214,79994
11,1991,73987,6235,80222
12,1991,74903,6339,81242
1,1992,74518,6345,80863
2,1992,74660,6241,80901
3,1992,74850,6345,81195
4,1992,74857,6364,81221
5,1992,75012,6510,81522
6,1992,75759,6952,82711
7,1992,76161,7250,83411
8,1992,76233,7230,83463
9,1992,75970,7100,83070
10,1992,75718,6966,82684
11,1992,76335,7122,83457
12,1992,76689,7224,83913
1,1993,75992,7062,83054
2,1993,74760,7120,81880
3,1993,74602,7034,81636
4,1993,74569,7020,81589
5,1993,74654,7296,81950
6,1993,75133,7833,82966
7,1993,75474,7910,83384
8,1993,75303,7882,83185
9,1993,74748,7611,82359
10,1993,74249,7535,81784
11,1993,74138,7539,81677
12,1993,73849,7662,81511
1,1994,72762,7361,80123
2,1994,71144,6869,78013
3,1994,69599,6703,76302
4,1994,69068,6787,75855
5,1994,68361,6791,75152
6,1994,68307,7013,75320
7,1994,68172,7199,75371
8,1994,67891,7265,75156
9,1994,67925,7079,75004
10,1994,67565,7351,74916
11,1994,67775,7499,75274
12,1994,68135,7933,76068
1,1995,68357,7734,76091
2,1995,69112,7765,76877
3,1995,70053,7821,77874
4,1995,70365,7937,78302
5,1995,71144,8021,79165
6,1995,72198,8704,80902
7,1995,72536,8843,81379
8,1995,72536,8906,81442
9,1995,72450,8686,81136
10,1995,72280,9157,81437
11,1995,72660,9203,81863
12,1995,72880,9280,82160
1,1996,73234,9250,82484
2,1996,73417,9322,82739
3,1996,73896,9245,83141
4,1996,74113,9234,83347
5,1996,74057,9972,84029
6,1996,74361,10257,84618
7,1996,74375,10302,84677
8,1996,74181,10348,84529
9,1996,74292,10238,84530
10,1996,74493,10296,84789
11,1996,74922,10510,85432
12,1996,75244,10764,86008
1,1997,75395,10794,86189
2,1997,75387,10913,86300
3,1997,75655,10788,86443
4,1997,75945,10779,86724
5,1997,76632,11161,87793
6,1997,77563,11376,88939
7,1997,78583,11439,90022
8,1997,79025,11347,90372
9,1997,79145,11179,90324
10,1997,79508,11202,90710
11,1997,79847,11263,91110
12,1997,80439,11282,91721
1,1998,80663,11406,92069
2,1998,81021,11182,92203
3,1998,81460,11121,92581
4,1998,81946,11178,93124
5,1998,82460,11182,93642
6,1998,82684,11380,94064
7,1998,82750,11477,94227
8,1998,82937,11142,94079
9,1998,83218,11052,94270
10,1998,83388,11076,94464
11,1998,83886,10904,94790
12,1998,84009,10894,94903
1,1999,84181,10815,94996
2,1999,84319,10850,95169
3,1999,85113,11126,96239
4,1999,85493,11121,96614
5,1999,86163,11269,97432
6,1999,86841,11454,98295
7,1999,87523,11298,98821
8,1999,87088,11671,98759
9,1999,87201,11689,98890
10,1999,87791,11269,99060
11,1999,88720,10951,99671
12,1999,88896,11020,99916
1,2000,88988,10822,99810
2,2000,88701,10766,99467
3,2000,88663,11102,99765
4,2000,88812,11101,99913
5,2000,88855,11488,100343
6,2000,89668,11205,100873
7,2000,90033,11305,101338
8,2000,90108,11307,101415
9,2000,90064,11389,101453
10,2000,90492,10927,101419
11,2000,90838,10920,101758
12,2000,90398,11416,101814
1,2001,90581,11291,101872
2,2001,90763,11034,101797
3,2001,91041,11005,102046
4,2001,91030,10795,101825
5,2001,91122,10614,101736
6,2001,91956,9915,101871
7,2001,91715,9775,101490
8,2001,91584,9677,101261
9,2001,91019,9633,100652
10,2001,89067,9238,98305
11,2001,78476,7087,85563
12,2001,77465,6648,84113
1,2002,77418,6559,83977
2,2002,74763,6500,81263
3,2002,73934,6211,80145
4,2002,75240,6388,81628
5,2002,76032,6545,82577
6,2002,76288,6694,82982
7,2002,76262,6799,83061
8,2002,76224,6931,83155
9,2002,75656,6930,82586
10,2002,74847,6940,81787
11,2002,74406,6913,81319
12,2002,73495,6917,80412
1,2003,71618,6494,78112
