Month,Year,Full-time,Part-time,Grand Total
1,1990,6997,832,7829
2,1990,6996,833,7829
3,1990,7090,833,7923
4,1990,7772,173,7945
5,1990,8049,164,8213
6,1990,8224,165,8389
7,1990,8297,157,8454
8,1990,8310,150,8460
9,1990,8325,152,8477
10,1990,8416,142,8558
11,1990,8463,137,8600
12,1990,8486,134,8620
1,1991,8503,137,8640
2,1991,8667,134,8801
3,1991,8671,135,8806
4,1991,8892,134,9026
5,1991,9074,136,9210
6,1991,9170,131,9301
7,1991,9249,130,9379
8,1991,9312,114,9426
9,1991,9396,111,9507
10,1991,9462,101,9563
11,1991,9570,111,9681
12,1991,9687,91,9778
1,1992,9784,83,9867
2,1992,9902,91,9993
3,1992,10152,86,10238
4,1992,10520,85,10605
5,1992,10702,80,10782
6,1992,10709,73,10782
7,1992,11277,73,11350
8,1992,11329,73,11402
9,1992,11373,67,11440
10,1992,11520,66,11586
11,1992,11563,60,11623
12,1992,11453,56,11509
1,1993,11491,56,11547
2,1993,11675,57,11732
3,1993,11835,55,11890
4,1993,12101,55,12156
5,1993,12357,53,12410
6,1993,12541,54,12595
7,1993,12766,53,12819
8,1993,12844,54,12898
9,1993,12948,50,12998
10,1993,12967,49,13016
11,1993,13174,53,13227
12,1993,13232,52,13284
1,1994,13267,50,13317
2,1994,13407,52,13459
3,1994,13730,48,13778
4,1994,13833,45,13878
5,1994,14747,46,14793
6,1994,14992,47,15039
7,1994,15260,48,15308
8,1994,15482,50,15532
9,1994,15793,46,15839
10,1994,16125,50,16175
11,1994,16369,47,16416
12,1994,16597,49,16646
1,1995,17089,46,17135
2,1995,17524,47,17571
3,1995,17970,45,18015
4,1995,18271,43,18314
5,1995,18488,41,18529
6,1995,18944,42,18986
7,1995,19101,195,19296
8,1995,19181,320,19501
9,1995,19270,478,19748
10,1995,19337,577,19914
11,1995,19454,635,20089
12,1995,19546,774,20320
1,1996,19880,684,20564
2,1996,20008,668,20676
3,1996,20477,653,21130
4,1996,20889,670,21559
5,1996,21245,665,21910
6,1996,21526,762,22288
7,1996,21757,816,22573
8,1996,21821,828,22649
9,1996,22624,884,23508
10,1996,22457,862,23319
11,1996,22534,904,23438
12,1996,22493,902,23395
1,1997,22839,887,23726
2,1997,23027,880,23907
3,1997,23544,436,23980
4,1997,23227,849,24076
5,1997,23265,876,24141
6,1997,23329,897,24226
7,1997,23394,911,24305
8,1997,23358,895,24253
9,1997,23407,866,24273
10,1997,23385,886,24271
11,1997,23568,955,24523
12,1997,23494,960,24454
1,1998,23570,890,24460
2,1998,23526,850,24376
3,1998,23729,844,24573
4,1998,23805,827,24632
5,1998,23833,818,24651
6,1998,23967,840,24807
7,1998,24155,809,24964
8,1998,24885,405,25290
9,1998,24610,818,25428
10,1998,24898,819,25717
11,1998,25198,890,26088
12,1998,25392,904,26296
1,1999,25424,857,26281
2,1999,26280,884,27164
3,1999,26104,857,26961
4,1999,26009,837,26846
5,1999,26179,857,27036
6,1999,26386,864,27250
7,1999,26681,880,27561
8,1999,26804,864,27668
9,1999,26742,845,27587
10,1999,27049,862,27911
11,1999,27200,878,28078
12,1999,27211,884,28095
1,2000,27316,854,28170
2,2000,27500,840,28340
3,2000,27481,860,28341
4,2000,27601,858,28459
5,2000,27514,852,28366
6,2000,27403,850,28253
7,2000,27593,878,28471
8,2000,27821,826,28647
9,2000,27916,810,28726
10,2000,28329,830,29159
11,2000,28626,829,29455
12,2000,28860,828,29688
1,2001,28887,813,29700
2,2001,29060,810,29870
3,2001,29160,800,29960
4,2001,29498,793,30291
5,2001,29781,779,30560
6,2001,29996,746,30742
7,2001,30367,748,31115
