Month,Year,Full-time,Part-time,Grand Total
7,1995,2122,339,2461
8,1995,2120,335,2455
9,1995,2094,326,2420
10,1995,2112,343,2455
11,1995,2112,342,2454
12,1995,2120,341,2461
1,1996,2230,342,2572
2,1996,2228,340,2568
3,1996,1896,291,2187
4,1996,1986,295,2281
5,1996,1995,297,2292
6,1996,1985,289,2274
7,1996,2050,287,2337
8,1996,2051,287,2338
9,1996,2049,280,2329
10,1996,2035,285,2320
11,1996,2035,285,2320
12,1996,2030,270,2300
1,1997,2078,284,2362
2,1997,2125,290,2415
3,1997,2130,281,2411
4,1997,2250,290,2540
5,1997,2256,292,2548
6,1997,2290,301,2591
1,2004,3041,302,3343
2,2004,3219,317,3536
3,2004,3023,323,3346
4,2004,3008,313,3321
5,2004,3446,318,3764
6,2004,3516,332,3848
7,2004,3565,355,3920
8,2004,3664,355,4019
9,2004,3675,381,4056
10,2004,3665,383,4048
11,2004,3638,414,4052
12,2004,3627,410,4037
1,2005,3208,43,3251
2,2005,3156,43,3199
3,2005,3202,42,3244
4,2005,3259,40,3299
5,2005,3273,44,3317
6,2005,3275,38,3313
7,2005,3296,36,3332
8,2005,3313,34,3347
9,2005,3323,40,3363
10,2005,3369,44,3413
11,2005,2940,45,2985
12,2005,2952,45,2997
1,2006,3184,48,3232
2,2006,3196,51,3247
3,2006,3195,53,3248
4,2006,3174,55,3229
5,2006,3157,54,3211
6,2006,3245,55,3300
7,2006,3348,56,3404
8,2006,3348,60,3408
9,2006,3360,58,3418
10,2006,3152,49,3201
11,2006,3267,34,3301
12,2006,3209,61,3270
1,2007,3195,66,3261
2,2007,3213,62,3275
3,2007,3233,62,3295
4,2007,3226,60,3286
5,2007,3179,57,3236
6,2007,3190,58,3248
7,2007,3135,58,3193
8,2007,3174,57,3231
9,2007,3205,57,3262
10,2007,3200,59,3259
11,2007,3161,56,3217
12,2007,3064,53,3117
1,2008,2987,55,3042
2,2008,2910,53,2963
3,2008,2893,61,2954
4,2008,2883,61,2944
5,2008,2900,57,2957
6,2008,2870,56,2926
7,2008,2962,59,3021
8,2008,3003,59,3062
