"year","airline","month","num_flights"
2019,"Southwest Airlines Co.","March    ","12336"
2019,"Delta Air Lines Inc.","August   ","9263"
2019,"American Airlines Inc.","May      ","8450"
2019,"SkyWest Airlines Inc.","August   ","7728"
2019,"United Air Lines Inc.","August   ","5780"
2019,"Envoy Air","August   ","3140"
2019,"Republic Airline","October  ","2982"
2019,"JetBlue Airways","August   ","2660"
2019,"PSA Airlines Inc.","August   ","2629"
2019,"Alaska Airlines Inc.","August   ","2581"
2019,"Endeavor Air Inc.","March    ","2359"
2019,"Mesa Airlines Inc.","August   ","2118"
2019,"Spirit Air Lines","August   ","1928"
2019,"ExpressJet Airlines LLC d/b/a aha!","January  ","1368"
2019,"Frontier Airlines Inc.","July     ","1337"
2019,"Allegiant Air","July     ","1221"
2019,"Hawaiian Airlines Inc.","August   ","790"
2020,"Southwest Airlines Co.","March    ","11946"
2020,"Delta Air Lines Inc.","March    ","8833"
2020,"American Airlines Inc.","March    ","8321"
2020,"SkyWest Airlines Inc.","March    ","7530"
2020,"United Air Lines Inc.","March    ","5542"
2020,"Republic Airline","March    ","3100"
2020,"Envoy Air","March    ","2718"
2020,"Endeavor Air Inc.","March    ","2647"
2020,"JetBlue Airways","March    ","2630"
2020,"PSA Airlines Inc.","March    ","2609"
2020,"Alaska Airlines Inc.","March    ","2161"
2020,"Spirit Air Lines","March    ","2015"
2020,"Mesa Airlines Inc.","March    ","1840"
2020,"Frontier Airlines Inc.","March    ","1301"
2020,"ExpressJet Airlines LLC d/b/a aha!","March    ","1245"
2020,"Allegiant Air","March    ","1185"
2020,"Hawaiian Airlines Inc.","January  ","733"
2021,"Southwest Airlines Co.","August   ","10724"
2021,"American Airlines Inc.","August   ","7585"
2021,"SkyWest Airlines Inc.","July     ","7455"
2021,"Delta Air Lines Inc.","November ","7281"
2021,"United Air Lines Inc.","December ","5130"
2021,"Republic Airline","July     ","3361"
2021,"Endeavor Air Inc.","July     ","2613"
2021,"Envoy Air","July     ","2463"
2021,"JetBlue Airways","December ","2218"
2021,"PSA Airlines Inc.","July     ","2192"
2021,"Spirit Air Lines","August   ","2056"
2021,"Alaska Airlines Inc.","August   ","1856"
2021,"Mesa Airlines Inc.","August   ","1642"
2021,"Allegiant Air","July     ","1444"
2021,"Frontier Airlines Inc.","August   ","1414"
2021,"Horizon Air","July     ","1235"
2021,"Hawaiian Airlines Inc.","December ","679"
2022,"Southwest Airlines Co.","July     ","12212"
2022,"Delta Air Lines Inc.","August   ","8032"
2022,"American Airlines Inc.","August   ","7949"
2022,"SkyWest Airlines Inc.","June     ","6911"
2022,"United Air Lines Inc.","December ","6018"
2022,"Republic Airline","May      ","3158"
2022,"JetBlue Airways","December ","2477"
2022,"Envoy Air","March    ","2292"
2022,"Spirit Air Lines","October  ","2184"
2022,"Endeavor Air Inc.","January  ","2176"
2022,"Alaska Airlines Inc.","August   ","2096"
2022,"PSA Airlines Inc.","January  ","2077"
2022,"Frontier Airlines Inc.","October  ","1468"
2022,"Allegiant Air","July     ","1263"
2022,"Mesa Airlines Inc.","January  ","1127"
2022,"Horizon Air","June     ","927"
2022,"Hawaiian Airlines Inc.","July     ","739"
2023,"Southwest Airlines Co.","July     ","12854"
2023,"Delta Air Lines Inc.","July     ","9106"
2023,"American Airlines Inc.","August   ","8661"
2023,"United Air Lines Inc.","August   ","6829"
2023,"SkyWest Airlines Inc.","August   ","5905"
2023,"Republic Airline","March    ","2838"
2023,"JetBlue Airways","March    ","2630"
2023,"Alaska Airlines Inc.","August   ","2399"
2023,"Spirit Air Lines","April    ","2304"
2023,"Envoy Air","August   ","2079"
2023,"Endeavor Air Inc.","July     ","1884"
2023,"PSA Airlines Inc.","July     ","1734"
2023,"Frontier Airlines Inc.","August   ","1586"
2023,"Allegiant Air","July     ","1291"
2023,"Hawaiian Airlines Inc.","July     ","734"
