"year","airline","origin_city","dest_city","flight_count"
2019,"Delta Air Lines Inc.","Atlanta, GA","Fort Lauderdale, FL","516"
2019,"American Airlines Inc.","Dallas/Fort Worth, TX","New York, NY","511"
2019,"Southwest Airlines Co.","Oakland, CA","San Diego, CA","435"
2019,"United Air Lines Inc.","Los Angeles, CA","Newark, NJ","393"
2019,"JetBlue Airways","Washington, DC","Boston, MA","369"
2019,"Alaska Airlines Inc.","Seattle, WA","Santa Ana, CA","300"
2019,"SkyWest Airlines Inc.","Minneapolis, MN","Chicago, IL","250"
2019,"PSA Airlines Inc.","Charlotte, NC","Charleston, SC","236"
2019,"PSA Airlines Inc.","Charlotte, NC","Savannah, GA","236"
2019,"Envoy Air","Dallas/Fort Worth, TX","Fayetteville, AR","232"
2019,"Republic Airline","Raleigh/Durham, NC","New York, NY","227"
2019,"Endeavor Air Inc.","New York, NY","Cleveland, OH","225"
2019,"Mesa Airlines Inc.","Phoenix, AZ","Tucson, AZ","191"
2019,"ExpressJet Airlines LLC d/b/a aha!","Jackson/Vicksburg, MS","Houston, TX","138"
2019,"Spirit Air Lines","Las Vegas, NV","San Diego, CA","130"
2019,"Spirit Air Lines","Las Vegas, NV","Detroit, MI","130"
2019,"Hawaiian Airlines Inc.","Kahului, HI","Lihue, HI","124"
2019,"Frontier Airlines Inc.","Phoenix, AZ","Denver, CO","76"
2019,"Allegiant Air","Las Vegas, NV","Fresno, CA","54"
2020,"American Airlines Inc.","Dallas/Fort Worth, TX","Phoenix, AZ","339"
2020,"Southwest Airlines Co.","Las Vegas, NV","Denver, CO","294"
2020,"United Air Lines Inc.","Washington, DC","Chicago, IL","221"
2020,"SkyWest Airlines Inc.","Boise, ID","Seattle, WA","190"
2020,"SkyWest Airlines Inc.","Minneapolis, MN","Chicago, IL","190"
2020,"Alaska Airlines Inc.","Las Vegas, NV","Seattle, WA","181"
2020,"PSA Airlines Inc.","Charlotte, NC","Wilmington, NC","177"
2020,"Envoy Air","Dallas/Fort Worth, TX","Abilene, TX","161"
2020,"JetBlue Airways","New York, NY","Los Angeles, CA","159"
2020,"Endeavor Air Inc.","Atlanta, GA","Asheville, NC","147"
2020,"Republic Airline","Indianapolis, IN","Charlotte, NC","134"
2020,"Mesa Airlines Inc.","Houston, TX","Oklahoma City, OK","118"
