"year","airline","origin_city","dest_city","flight_count"
2019,"Hawaiian Airlines Inc.","Kahului, HI","Honolulu, HI","1029"
2019,"Hawaiian Airlines Inc.","Honolulu, HI","Kahului, HI","1013"
2019,"Delta Air Lines Inc.","New York, NY","Atlanta, GA","847"
2019,"Delta Air Lines Inc.","Atlanta, GA","New York, NY","797"
2019,"Southwest Airlines Co.","Dallas, TX","Houston, TX","696"
2019,"Hawaiian Airlines Inc.","Kona, HI","Honolulu, HI","695"
2019,"Hawaiian Airlines Inc.","Lihue, HI","Honolulu, HI","693"
2019,"Hawaiian Airlines Inc.","Honolulu, HI","Kona, HI","688"
2019,"Delta Air Lines Inc.","Washington, DC","Atlanta, GA","682"
2019,"Southwest Airlines Co.","Houston, TX","Dallas, TX","677"
2020,"Delta Air Lines Inc.","Atlanta, GA","New York, NY","522"
2020,"Hawaiian Airlines Inc.","Kahului, HI","Honolulu, HI","483"
2020,"Southwest Airlines Co.","Dallas, TX","Houston, TX","479"
2020,"Hawaiian Airlines Inc.","Honolulu, HI","Kahului, HI","477"
2020,"Delta Air Lines Inc.","New York, NY","Atlanta, GA","476"
2020,"Southwest Airlines Co.","Houston, TX","Dallas, TX","455"
2020,"Delta Air Lines Inc.","Washington, DC","Atlanta, GA","439"
2020,"Alaska Airlines Inc.","Seattle, WA","Anchorage, AK","424"
2020,"Alaska Airlines Inc.","Anchorage, AK","Seattle, WA","409"
2020,"Southwest Airlines Co.","Denver, CO","Phoenix, AZ","376"
2021,"Hawaiian Airlines Inc.","Kahului, HI","Honolulu, HI","673"
2021,"Hawaiian Airlines Inc.","Honolulu, HI","Kahului, HI","651"
2021,"Delta Air Lines Inc.","Atlanta, GA","Orlando, FL","529"
2021,"Delta Air Lines Inc.","New York, NY","Atlanta, GA","517"
2021,"SkyWest Airlines Inc.","Los Angeles, CA","San Francisco, CA","515"
2021,"Delta Air Lines Inc.","Atlanta, GA","New York, NY","513"
2021,"Delta Air Lines Inc.","Orlando, FL","Atlanta, GA","505"
2021,"Southwest Airlines Co.","Houston, TX","Dallas, TX","498"
2021,"Alaska Airlines Inc.","Seattle, WA","Anchorage, AK","491"
2021,"American Airlines Inc.","New York, NY","Miami, FL","491"
2022,"Hawaiian Airlines Inc.","Kahului, HI","Honolulu, HI","795"
2022,"JetBlue Airways","New York, NY","Boston, MA","791"
2022,"Republic Airline","New York, NY","Washington, DC","786"
2022,"American Airlines Inc.","New York, NY","Miami, FL","774"
2022,"JetBlue Airways","Boston, MA","New York, NY","761"
2022,"Republic Airline","Washington, DC","New York, NY","751"
2022,"American Airlines Inc.","Miami, FL","New York, NY","749"
2022,"Hawaiian Airlines Inc.","Honolulu, HI","Kahului, HI","748"
2022,"Delta Air Lines Inc.","New York, NY","Atlanta, GA","739"
2022,"Delta Air Lines Inc.","Atlanta, GA","New York, NY","732"
2023,"Hawaiian Airlines Inc.","Honolulu, HI","Kahului, HI","607"
2023,"Hawaiian Airlines Inc.","Kahului, HI","Honolulu, HI","597"
2023,"Delta Air Lines Inc.","Atlanta, GA","New York, NY","488"
2023,"Republic Airline","Washington, DC","New York, NY","479"
2023,"Republic Airline","New York, NY","Washington, DC","479"
2023,"Republic Airline","Boston, MA","New York, NY","472"
2023,"Delta Air Lines Inc.","New York, NY","Atlanta, GA","467"
2023,"Republic Airline","New York, NY","Boston, MA","449"
2023,"Hawaiian Airlines Inc.","Lihue, HI","Honolulu, HI","443"
2023,"JetBlue Airways","New York, NY","Boston, MA","438"
