"year","dest","dest_city","num_flights"
2019,"ATL","Atlanta, GA","40227"
2019,"ORD","Chicago, IL","34761"
2019,"DFW","Dallas/Fort Worth, TX","30861"
2019,"DEN","Denver, CO","25667"
2019,"CLT","Charlotte, NC","24213"
2019,"LAX","Los Angeles, CA","22420"
2019,"PHX","Phoenix, AZ","18328"
2019,"IAH","Houston, TX","17959"
2019,"LGA","New York, NY","17487"
2019,"SFO","San Francisco, CA","17428"
2020,"ATL","Atlanta, GA","26029"
2020,"DFW","Dallas/Fort Worth, TX","22946"
2020,"DEN","Denver, CO","20170"
2020,"ORD","Chicago, IL","19530"
2020,"CLT","Charlotte, NC","17811"
2020,"LAX","Los Angeles, CA","12611"
2020,"PHX","Phoenix, AZ","12552"
2020,"LAS","Las Vegas, NV","11469"
2020,"DTW","Detroit, MI","11216"
2020,"MSP","Minneapolis, MN","10404"
2021,"ATL","Atlanta, GA","31912"
2021,"DFW","Dallas/Fort Worth, TX","28625"
2021,"DEN","Denver, CO","26556"
2021,"ORD","Chicago, IL","24707"
2021,"CLT","Charlotte, NC","20730"
2021,"LAX","Los Angeles, CA","17666"
2021,"SEA","Seattle, WA","17103"
2021,"PHX","Phoenix, AZ","16136"
2021,"LAS","Las Vegas, NV","14596"
2021,"MCO","Orlando, FL","13677"
2022,"ATL","Atlanta, GA","32605"
2022,"DFW","Dallas/Fort Worth, TX","28181"
2022,"DEN","Denver, CO","27608"
2022,"ORD","Chicago, IL","26685"
2022,"LAX","Los Angeles, CA","19658"
2022,"CLT","Charlotte, NC","19586"
2022,"LAS","Las Vegas, NV","17900"
2022,"SEA","Seattle, WA","17798"
2022,"LGA","New York, NY","17227"
2022,"PHX","Phoenix, AZ","16928"
2023,"ATL","Atlanta, GA","22796"
2023,"DEN","Denver, CO","19591"
2023,"DFW","Dallas/Fort Worth, TX","19157"
2023,"ORD","Chicago, IL","17651"
2023,"LAX","Los Angeles, CA","13266"
2023,"CLT","Charlotte, NC","13073"
2023,"LAS","Las Vegas, NV","12611"
2023,"PHX","Phoenix, AZ","11661"
2023,"LGA","New York, NY","11284"
2023,"SEA","Seattle, WA","11009"
