"year","num_flights","airline","airline_code"
2019,"139406","Southwest Airlines Co.","WN"
2019,"101443","Delta Air Lines Inc.","DL"
2019,"96676","American Airlines Inc.","AA"
2019,"85329","SkyWest Airlines Inc.","OO"
2019,"63572","United Air Lines Inc.","UA"
2019,"33617","Republic Airline","YX"
2019,"33307","Envoy Air","MQ"
2019,"30395","JetBlue Airways","B6"
2019,"29435","PSA Airlines Inc.","OH"
2019,"27051","Alaska Airlines Inc.","AS"
2019,"26235","Endeavor Air Inc.","9E"
2019,"23274","Mesa Airlines Inc.","YV"
2019,"20877","Spirit Air Lines","NK"
2019,"13929","Frontier Airlines Inc.","F9"
2019,"13756","ExpressJet Airlines LLC d/b/a aha!","EV"
2019,"10803","Allegiant Air","G4"
2019,"8568","Hawaiian Airlines Inc.","HA"
2020,"98346","Southwest Airlines Co.","WN"
2020,"61009","SkyWest Airlines Inc.","OO"
2020,"59251","Delta Air Lines Inc.","DL"
2020,"58447","American Airlines Inc.","AA"
2020,"31584","United Air Lines Inc.","UA"
2020,"22490","Republic Airline","YX"
2020,"21729","Endeavor Air Inc.","9E"
2020,"21466","Envoy Air","MQ"
2020,"19833","PSA Airlines Inc.","OH"
2020,"14521","JetBlue Airways","B6"
2020,"14145","Alaska Airlines Inc.","AS"
2020,"13933","Mesa Airlines Inc.","YV"
2020,"13841","Spirit Air Lines","NK"
2020,"10030","Allegiant Air","G4"
2020,"9222","Frontier Airlines Inc.","F9"
2020,"5326","ExpressJet Airlines LLC d/b/a aha!","EV"
2020,"4177","Hawaiian Airlines Inc.","HA"
2021,"108595","Southwest Airlines Co.","WN"
2021,"76893","SkyWest Airlines Inc.","OO"
2021,"76154","Delta Air Lines Inc.","DL"
2021,"75016","American Airlines Inc.","AA"
2021,"45544","United Air Lines Inc.","UA"
2021,"34003","Republic Airline","YX"
2021,"27264","Endeavor Air Inc.","9E"
2021,"26041","Envoy Air","MQ"
2021,"22660","PSA Airlines Inc.","OH"
2021,"20860","JetBlue Airways","B6"
2021,"19797","Spirit Air Lines","NK"
2021,"19069","Alaska Airlines Inc.","AS"
2021,"16254","Mesa Airlines Inc.","YV"
2021,"14010","Frontier Airlines Inc.","F9"
2021,"11796","Allegiant Air","G4"
2021,"11492","Horizon Air","QX"
2021,"6185","Hawaiian Airlines Inc.","HA"
2022,"133923","Southwest Airlines Co.","WN"
2022,"91326","Delta Air Lines Inc.","DL"
2022,"88842","American Airlines Inc.","AA"
2022,"75342","SkyWest Airlines Inc.","OO"
2022,"64349","United Air Lines Inc.","UA"
2022,"32297","Republic Airline","YX"
2022,"27795","JetBlue Airways","B6"
2022,"25424","Envoy Air","MQ"
2022,"23584","Spirit Air Lines","NK"
2022,"23501","Endeavor Air Inc.","9E"
2022,"23356","Alaska Airlines Inc.","AS"
2022,"21952","PSA Airlines Inc.","OH"
2022,"15839","Frontier Airlines Inc.","F9"
2022,"11988","Allegiant Air","G4"
2022,"11551","Mesa Airlines Inc.","YV"
2022,"9142","Horizon Air","QX"
2022,"7649","Hawaiian Airlines Inc.","HA"
2023,"96200","Southwest Airlines Co.","WN"
2023,"67065","Delta Air Lines Inc.","DL"
2023,"64125","American Airlines Inc.","AA"
2023,"49455","United Air Lines Inc.","UA"
2023,"45164","SkyWest Airlines Inc.","OO"
2023,"20700","Republic Airline","YX"
2023,"19273","JetBlue Airways","B6"
2023,"17612","Spirit Air Lines","NK"
2023,"16846","Alaska Airlines Inc.","AS"
2023,"15018","Envoy Air","MQ"
2023,"13734","Endeavor Air Inc.","9E"
2023,"13170","PSA Airlines Inc.","OH"
2023,"11466","Frontier Airlines Inc.","F9"
2023,"8121","Allegiant Air","G4"
2023,"5535","Hawaiian Airlines Inc.","HA"
